 84; 	 226.3447; 	    260; 	 17.7; 	 1.00; 	"17.70";
 85; 	 304.5989; 	    261; 	 17.8; 	 1.00; 	"17.80";
 86; 	 487.2253; 	    257; 	 17.5; 	 1.00; 	"17.50";
 87; 	 514.7470; 	    231; 	 15.8; 	 1.00; 	"15.80";
 88; 	 516.7487; 	    427; 	 29.1; 	 1.00; 	"29.10";
 89; 	 518.7619; 	    294; 	 20.0; 	 1.00; 	"20.00";
 90; 	 569.3385; 	    266; 	 18.1; 	 1.00; 	"18.10";
 91; 	 608.6228; 	    258; 	 17.6; 	 1.00; 	"17.60";
 92; 	 155.0034; 	    613; 	100.0; 	10.00; 	"100.00";
 93; 	 157.0076; 	    587; 	 95.7; 	10.00; 	"95.70";
 94; 	 183.0043; 	    538; 	 87.8; 	10.00; 	"87.80";
 95; 	 184.9209; 	    336; 	 54.9; 	10.00; 	"54.90";
 96; 	 314.0039; 	    108; 	 17.6; 	10.00; 	"17.60";
 97; 	 505.9791; 	    132; 	 21.6; 	10.00; 	"21.60";
 98; 	 121.1719; 	    105; 	  9.6; 	20.00; 	"";
 99; 	 155.0084; 	    763; 	 69.8; 	20.00; 	"69.80";
100; 	 157.0087; 	   1093; 	100.0; 	20.00; 	"100.00";
101; 	 242.3235; 	    255; 	 23.3; 	20.00; 	"23.30";
102; 	 386.2626; 	    263; 	 24.1; 	20.00; 	"24.10";
103; 	 406.1207; 	    280; 	 25.6; 	20.00; 	"25.60";
104; 	 468.4780; 	    113; 	 10.3; 	20.00; 	"10.30";
105; 	 510.4272; 	    122; 	 11.2; 	20.00; 	"11.20";
106; 	 624.0087; 	    278; 	 25.4; 	20.00; 	"25.40";
107; 	 675.6965; 	    271; 	 24.8; 	20.00; 	"24.80";
108; 	 122.5229; 	    100; 	  4.5; 	40.00; 	"";
109; 	 154.9665; 	   2211; 	100.0; 	40.00; 	"100.00";
110; 	 156.9606; 	   1705; 	 77.1; 	40.00; 	"77.10";
111; 	 198.5398; 	    285; 	 12.9; 	40.00; 	"12.90";
112; 	 371.3194; 	    102; 	  4.6; 	40.00; 	"";
113; 	 499.7192; 	    257; 	 11.6; 	40.00; 	"11.60";
114; 	 505.2702; 	    258; 	 11.7; 	40.00; 	"11.70";
