 0; 	 121.1719; 	    105; 	  9.6; 	"";
 1; 	 155.0084; 	    763; 	 69.8; 	"155.01";
 2; 	 157.0087; 	   1093; 	100.0; 	"157.01";
 3; 	 242.3235; 	    255; 	 23.3; 	"242.32";
 4; 	 386.2626; 	    263; 	 24.1; 	"386.26";
 5; 	 406.1207; 	    280; 	 25.6; 	"406.12";
 6; 	 468.4780; 	    113; 	 10.3; 	"468.48";
 7; 	 510.4272; 	    122; 	 11.2; 	"510.43";
 8; 	 624.0087; 	    278; 	 25.4; 	"624.01";
 9; 	 675.6965; 	    271; 	 24.8; 	"675.70";
