# Ev; 	 185.0300; 	 183.0900; 	 157.0000; 	 155.0000; 	  75.0200;
 0.00;	  32.4000;	  58.2000;	 100.0000;	  61.5000;	  28.2000;
 0.01;	  57.7000;	  52.2000;	  87.9000;	 100.0000;	   0.0000;
 0.10;	  39.9000;	  58.2000;	 100.0000;	  88.9000;	   0.0000;
 1.00;	  30.0000;	  41.8000;	 100.0000;	  94.7000;	   0.0000;
10.00;	   0.0000;	   0.0000;	 100.0000;	  64.6000;	   0.0000;
20.00;	   0.0000;	   0.0000;	  97.3000;	 100.0000;	  53.7000;
40.00;	   0.0000;	   0.0000;	   8.4000;	   4.1000;	  28.2000;
