 0; 	  22.5435; 	    241; 	 86.3; 	"22.54";
 1; 	  53.7227; 	    214; 	 76.5; 	"53.72";
 2; 	  81.4502; 	    262; 	 93.7; 	"81.45";
 3; 	 155.0128; 	    120; 	 42.8; 	"155.01";
 4; 	 183.0181; 	    112; 	 40.0; 	"183.02";
 5; 	 185.0073; 	    226; 	 80.8; 	"185.01";
 6; 	 196.6226; 	    126; 	 45.2; 	"196.62";
 7; 	 215.0755; 	    258; 	 92.5; 	"215.08";
 8; 	 302.4923; 	    258; 	 92.4; 	"302.49";
 9; 	 351.9717; 	    116; 	 41.6; 	"351.97";
10; 	 476.0389; 	    279; 	100.0; 	"476.04";
11; 	 516.5690; 	    105; 	 37.6; 	"516.57";
12; 	 560.8969; 	    257; 	 92.0; 	"560.90";
