 0; 	  25.2217; 	    169; 	 13.7; 	"25.22";
 1; 	 103.2775; 	    262; 	 21.3; 	"103.28";
 2; 	 154.9933; 	    231; 	 18.8; 	"154.99";
 3; 	 170.4005; 	    113; 	  9.2; 	"";
 4; 	 182.9919; 	   1128; 	 91.7; 	"182.99";
 5; 	 184.9926; 	   1230; 	100.0; 	"184.99";
 6; 	 344.0367; 	    266; 	 21.6; 	"344.04";
 7; 	 387.9599; 	    110; 	  9.0; 	"";
 8; 	 479.9853; 	    284; 	 23.1; 	"479.99";
 9; 	 507.1003; 	    104; 	  8.5; 	"";
10; 	 514.7641; 	    482; 	 39.2; 	"514.76";
11; 	 516.7482; 	    775; 	 63.0; 	"516.75";
12; 	 518.7411; 	    249; 	 20.2; 	"518.74";
