# Ev; 	 515.0100; 	 185.0300; 	   1.0900; 	  92.1000; 	  75.0200;
 0.00;	   0.0000;	  46.2000;	   0.0000;	   0.0000;	   0.0000;
 0.01;	   0.0000;	 100.0000;	   0.0000;	   0.0000;	   0.0000;
 0.10;	   0.0000;	 100.0000;	   0.0000;	   0.0000;	   0.0000;
 1.00;	   0.0000;	 100.0000;	   0.0000;	   0.0000;	   0.0000;
10.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
20.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
40.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
