"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"Ph-N2+ + TfO- = Ph-N2-OTf"; -365.15; -316.70; -360.78; -44.12; 
"2-HOOC-4-Br-Ph-N2+ + TfO- = 2-HOOC-4-Br-Ph-N2-OTf"; -369.74; -322.28; -364.92; -42.67; 
"2-HOOC-Ph-N2+ + TfO- = 2-HOOC-Ph-N2-OTf"; -367.89; -319.97; -362.96; -43.02; 
"2-NO2-Ph-N2+ + TfO- = 2-NO2-Ph-N2-OTf"; -391.77; -342.08; -386.39; -44.35; 
"3-NO2-Ph-N2+ + TfO- = 3-NO2-Ph-N2-OTf"; -406.91; -355.65; -401.25; -45.63; 
"4-Br-Ph-N2+ + TfO- = 4-Br-Ph-N2-OTf"; -375.52; -329.79; -370.80; -41.04; 
"4-CH3O-Ph-N2+ + TfO- = 4-CH3O-Ph-N2-OTf"; -348.53; -302.47; -343.29; -40.85; 
"4-HOOC-Ph-N2+ + TfO- = 4-HOOC-Ph-N2-OTf"; -381.41; -333.59; -376.31; -42.74; 
"4-NO2-Ph-N2+ + TfO- = 4-NO2-Ph-N2-OTf"; -408.03; -357.21; -402.39; -45.21; 
"4-NO2-Ph-N2+ + TsO- = 4-NO2-Ph-N2-OTs"; -446.67; -399.91; -440.57; -40.69; 
"4-NO2-Ph-N2+ + BF4- = 4-NO2-Ph-N2-BF4"; -438.56; -386.13; -432.81; -46.71; 
