0 0.9000  -1439.9992 -3780717.8518 846.0864
1 0.9100  -1440.0255 -3780786.9795 776.9587
2 0.9201  -1440.0499 -3780850.9509 712.9874
3 0.9301  -1440.0724 -3780910.0938 653.8444
4 0.9401  -1440.0932 -3780964.7109 599.2273
5 0.9501  -1440.1124 -3781015.0989 548.8394
6 0.9602  -1440.1301 -3781061.5163 502.4219
7 0.9702  -1440.1463 -3781104.2270 459.7112
8 0.9802  -1440.1613 -3781143.4610 420.4772
9 0.9902  -1440.1750 -3781179.4465 384.4918
10 1.0003  -1440.1875 -3781212.3870 351.5512
11 1.0103  -1440.1990 -3781242.4846 321.4537
12 1.0203  -1440.2095 -3781269.9261 294.0122
13 1.0303  -1440.2190 -3781294.8833 269.0549
14 1.0404  -1440.2276 -3781317.5254 246.4128
15 1.0504  -1440.2354 -3781338.0049 225.9333
16 1.0604  -1440.2424 -3781356.4718 207.4665
17 1.0704  -1440.2487 -3781373.0679 190.8703
18 1.0805  -1440.2544 -3781387.9181 176.0202
19 1.0905  -1440.2594 -3781401.1538 162.7845
20 1.1005  -1440.2639 -3781412.8871 151.0512
21 1.1105  -1440.2678 -3781423.2208 140.7175
22 1.1206  -1440.2713 -3781432.2608 131.6775
23 1.1306  -1440.2743 -3781440.0965 123.8418
24 1.1406  -1440.2768 -3781446.8110 117.1273
25 1.1506  -1440.2790 -3781452.4854 111.4529
26 1.1607  -1440.2808 -3781457.1910 106.7473
27 1.1707  -1440.2822 -3781460.9962 102.9421
28 1.1807  -1440.2834 -3781463.9645 99.9737
29 1.1907  -1440.2842 -3781466.1558 97.7824
30 1.2008  -1440.2848 -3781467.6222 96.3161
31 1.2108  -1440.2851 -3781468.4213 95.5169
32 1.2208  -1440.2851 -3781468.5983 95.3400
33 1.2308  -1440.2850 -3781468.1999 95.7383
34 1.2409  -1440.2846 -3781467.2777 96.6605
35 1.2509  -1440.2841 -3781465.8696 98.0687
36 1.2609  -1440.2834 -3781464.0158 99.9224
37 1.2709  -1440.2825 -3781461.7653 102.1730
38 1.2810  -1440.2819 -3781460.1290 103.8093
39 1.2910  -1440.2808 -3781457.3553 106.5829
40 1.3010  -1440.2797 -3781454.2674 109.6708
41 1.3110  -1440.2784 -3781450.8814 113.0569
42 1.3211  -1440.2770 -3781447.2406 116.6976
43 1.3311  -1440.2755 -3781443.3520 120.5863
44 1.3411  -1440.2739 -3781439.2380 124.7002
45 1.3511  -1440.2723 -3781434.9172 129.0211
46 1.3612  -1440.2706 -3781430.4161 133.5222
47 1.3712  -1440.2688 -3781425.7398 138.1985
48 1.3812  -1440.2670 -3781420.9151 143.0231
49 1.3912  -1440.2651 -3781415.9521 147.9861
50 1.4013  -1440.2631 -3781410.8668 153.0715
51 1.4113  -1440.2612 -3781405.6749 158.2633
52 1.4213  -1440.2591 -3781400.3874 163.5509
53 1.4313  -1440.2571 -3781395.0167 168.9215
54 1.4414  -1440.2550 -3781389.5764 174.3619
55 1.4514  -1440.2529 -3781384.0735 179.8648
56 1.4614  -1440.2508 -3781378.5187 185.4196
57 1.4714  -1440.2487 -3781372.9191 191.0192
58 1.4815  -1440.2465 -3781367.2866 196.6516
59 1.4915  -1440.2444 -3781361.6214 202.3168
60 1.5015  -1440.2422 -3781355.9387 207.9995
61 1.5115  -1440.2400 -3781350.2455 213.6928
62 1.5216  -1440.2379 -3781344.5332 219.4051
63 1.5316  -1440.2357 -3781338.8266 225.1116
64 1.5416  -1440.2335 -3781333.1091 230.8291
65 1.5516  -1440.2314 -3781327.4127 236.5256
66 1.5617  -1440.2292 -3781321.7149 242.2233
67 1.5717  -1440.2270 -3781316.0388 247.8995
68 1.5817  -1440.2249 -3781310.3776 253.5606
69 1.5917  -1440.2227 -3781304.7383 259.1999
70 1.6018  -1440.2206 -3781299.1222 264.8160
71 1.6118  -1440.2184 -3781293.5324 270.4058
72 1.6218  -1440.2163 -3781287.9717 275.9665
73 1.6318  -1440.2142 -3781282.4432 281.4951
74 1.6419  -1440.2121 -3781276.9497 286.9885
75 1.6519  -1440.2101 -3781271.4918 292.4465
76 1.6619  -1440.2080 -3781266.0732 297.8651
77 1.6719  -1440.2059 -3781260.6980 303.2402
78 1.6820  -1440.2039 -3781255.3609 308.5774
79 1.6920  -1440.2019 -3781250.0682 313.8701
80 1.7020  -1440.1999 -3781244.8190 319.1193
81 1.7120  -1440.1979 -3781239.6158 324.3224
82 1.7221  -1440.1959 -3781234.4597 329.4786
83 1.7321  -1440.1940 -3781229.3503 334.5879
84 1.7421  -1440.1921 -3781224.2925 339.6457
85 1.7521  -1440.1902 -3781219.2800 344.6583
86 1.7622  -1440.1883 -3781214.3225 349.6158
87 1.7722  -1440.1864 -3781209.4113 354.5270
88 1.7822  -1440.1846 -3781204.5565 359.3818
89 1.7922  -1440.1827 -3781199.7511 364.1872
90 1.8023  -1440.1809 -3781194.9996 368.9386
91 1.8123  -1440.1791 -3781190.3016 373.6366
92 1.8223  -1440.1774 -3781185.6584 378.2799
93 1.8323  -1440.1756 -3781181.0688 382.8695
94 1.8424  -1440.1739 -3781176.5301 387.4082
95 1.8524  -1440.1722 -3781172.0550 391.8833
96 1.8624  -1440.1705 -3781167.6318 396.3064
97 1.8724  -1440.1688 -3781163.2648 400.6734
98 1.8825  -1440.1672 -3781158.9538 404.9845
99 1.8925  -1440.1656 -3781154.6990 409.2392
100 1.9025  -1440.1640 -3781150.4819 413.4564
101 1.9125  -1440.1624 -3781146.3607 417.5776
102 1.9226  -1440.1608 -3781142.2755 421.6628
103 1.9326  -1440.1593 -3781138.2471 425.6911
104 1.9426  -1440.1578 -3781134.2761 429.6621
105 1.9526  -1440.1563 -3781130.3626 433.5757
106 1.9627  -1440.1548 -3781126.5036 437.4346
107 1.9727  -1440.1534 -3781122.7027 441.2356
108 1.9827  -1440.1520 -3781118.9581 444.9802
109 1.9927  -1440.1506 -3781115.2698 448.6685
110 2.0028  -1440.1492 -3781111.6368 452.3015
111 2.0128  -1440.1478 -3781108.0596 455.8786
112 2.0228  -1440.1465 -3781104.5382 459.4000
113 2.0328  -1440.1451 -3781101.0722 462.8660
114 2.0429  -1440.1438 -3781097.6610 466.2773
115 2.0529  -1440.1426 -3781094.3042 469.6341
116 2.0629  -1440.1413 -3781091.0019 472.9363
117 2.0729  -1440.1401 -3781087.7535 476.1848
118 2.0830  -1440.1389 -3781084.5582 479.3801
119 2.0930  -1440.1377 -3781081.4162 482.5220
120 2.1030  -1440.1365 -3781078.3269 485.6114
121 2.1130  -1440.1353 -3781075.2900 488.6483
122 2.1231  -1440.1342 -3781072.3047 491.6335
123 2.1331  -1440.1331 -3781069.3706 494.5677
124 2.1431  -1440.1320 -3781066.4870 497.4513
125 2.1531  -1440.1309 -3781063.6537 500.2846
126 2.1632  -1440.1298 -3781060.8696 503.0686
127 2.1732  -1440.1288 -3781058.1346 505.8037
128 2.1832  -1440.1278 -3781055.4475 508.4908
129 2.1932  -1440.1268 -3781052.8080 511.1303
130 2.2033  -1440.1258 -3781050.2151 513.7232
131 2.2133  -1440.1248 -3781047.6687 516.2695
132 2.2233  -1440.1238 -3781045.1673 518.7709
133 2.2333  -1440.1229 -3781042.7111 521.2272
134 2.2434  -1440.1220 -3781040.2989 523.6394
135 2.2534  -1440.1211 -3781037.9302 526.0081
136 2.2634  -1440.1202 -3781035.6047 528.3336
137 2.2734  -1440.1193 -3781033.3213 530.6170
138 2.2835  -1440.1185 -3781031.0796 532.8587
139 2.2935  -1440.1176 -3781028.8792 535.0591
140 2.3035  -1440.1168 -3781026.7191 537.2192
141 2.3135  -1440.1160 -3781024.6028 539.3355
142 2.3236  -1440.1152 -3781022.5219 541.4164
143 2.3336  -1440.1144 -3781020.4803 543.4580
144 2.3436  -1440.1137 -3781018.4809 545.4574
145 2.3536  -1440.1129 -3781016.5289 547.4094
146 2.3637  -1440.1122 -3781014.6011 549.3371
147 2.3737  -1440.1115 -3781012.7182 551.2200
148 2.3837  -1440.1108 -3781010.8623 553.0759
149 2.3937  -1440.1101 -3781009.0552 554.8831
150 2.4038  -1440.1094 -3781007.2721 556.6662
151 2.4138  -1440.1088 -3781005.5237 558.4145
152 2.4238  -1440.1081 -3781003.8128 560.1255
153 2.4338  -1440.1075 -3781002.1281 561.8102
154 2.4439  -1440.1068 -3781000.5038 563.4345
155 2.4539  -1440.1062 -3780998.8978 565.0404
156 2.4639  -1440.1056 -3780997.3222 566.6160
157 2.4739  -1440.1050 -3780995.7903 568.1480
158 2.4840  -1440.1045 -3780994.2835 569.6547
159 2.4940  -1440.1039 -3780992.8035 571.1347
160 2.5040  -1440.1034 -3780991.3572 572.5811
161 2.5140  -1440.1028 -3780989.9417 573.9966
162 2.5241  -1440.1023 -3780988.5621 575.3761
163 2.5341  -1440.1018 -3780987.2109 576.7273
164 2.5441  -1440.1013 -3780985.8940 578.0442
165 2.5541  -1440.1008 -3780984.6132 579.3251
166 2.5642  -1440.3189 -3781557.2112 6.7271
167 2.5742  -1440.3189 -3781557.4005 6.5377
168 2.5842  -1440.3190 -3781557.5873 6.3510
169 2.5942  -1440.3191 -3781557.7815 6.1568
170 2.6043  -1440.3192 -3781557.9462 5.9921
171 2.6143  -1440.3192 -3781558.1052 5.8331
172 2.6243  -1440.3193 -3781558.2487 5.6896
173 2.6343  -1440.3193 -3781558.3857 5.5525
174 2.6444  -1440.3194 -3781558.5100 5.4282
175 2.6544  -1440.3194 -3781558.6865 5.2518
176 2.6644  -1440.3195 -3781558.9065 5.0317
177 2.6744  -1440.3196 -3781559.1315 4.8068
178 2.6845  -1440.3199 -3781560.0064 3.9318
179 2.6945  -1440.3201 -3781560.3114 3.6268
180 2.7045  -1440.3202 -3781560.5993 3.3389
181 2.7145  -1440.3203 -3781560.8680 3.0703
182 2.7246  -1440.3204 -3781561.1234 2.8149
183 2.7346  -1440.3205 -3781561.3595 2.5788
