0 0.9000  -799.4859 -2099050.3192 4702.2448
1 0.9100  -799.5817 -2099301.6544 4450.9096
2 0.9201  -799.6725 -2099540.1266 4212.4374
3 0.9301  -799.7587 -2099766.3634 3986.2005
4 0.9401  -799.8404 -2099980.9574 3771.6065
5 0.9501  -799.9179 -2100184.4832 3568.0808
6 0.9602  -799.9914 -2100377.4870 3375.0769
7 0.9702  -800.0611 -2100560.4961 3192.0679
8 0.9802  -800.1272 -2100734.0141 3018.5498
9 0.9902  -800.1899 -2100898.5215 2854.0425
10 1.0003  -800.2493 -2101054.4747 2698.0892
11 1.0103  -800.3056 -2101202.3086 2550.2553
12 1.0203  -800.3590 -2101342.4364 2410.1276
13 1.0303  -800.4095 -2101475.2522 2277.3117
14 1.0404  -800.4575 -2101601.1304 2151.4336
15 1.0504  -800.5029 -2101720.4252 2032.1388
16 1.0604  -800.5460 -2101833.4735 1919.0905
17 1.0704  -800.5868 -2101940.5932 1811.9708
18 1.0805  -800.6254 -2102042.0854 1710.4785
19 1.0905  -800.6621 -2102138.2358 1614.3281
20 1.1005  -800.6967 -2102229.3162 1523.2477
21 1.1105  -800.7296 -2102315.5859 1436.9781
22 1.1206  -800.7607 -2102397.2919 1355.2721
23 1.1306  -800.7902 -2102474.6695 1277.8945
24 1.1406  -800.8181 -2102547.9417 1204.6222
25 1.1506  -800.8445 -2102617.3203 1135.2436
26 1.1607  -800.8696 -2102683.0050 1069.5589
27 1.1707  -800.8932 -2102745.1875 1007.3764
28 1.1807  -800.9157 -2102804.0449 948.5191
29 1.1907  -800.9369 -2102859.7494 892.8146
30 1.2008  -800.9569 -2102912.4602 840.1037
31 1.2108  -800.9759 -2102962.3323 790.2316
32 1.2208  -800.9939 -2103009.5090 743.0550
33 1.2308  -801.0109 -2103054.1298 698.4342
34 1.2409  -801.0270 -2103096.3237 656.2403
35 1.2509  -801.0422 -2103136.2159 616.3481
36 1.2609  -801.0565 -2103173.9240 578.6400
37 1.2709  -801.0701 -2103209.5600 543.0039
38 1.2810  -801.0829 -2103243.2307 509.3332
39 1.2910  -801.0950 -2103275.0377 477.5263
40 1.3010  -801.1065 -2103305.0778 447.4862
41 1.3110  -801.1173 -2103333.4425 419.1214
42 1.3211  -801.1275 -2103360.2194 392.3446
43 1.3311  -801.1371 -2103385.4911 367.0729
44 1.3411  -801.1462 -2103409.3360 343.2279
45 1.3511  -801.1548 -2103431.8283 320.7356
46 1.3612  -801.1628 -2103453.0381 299.5258
47 1.3712  -801.1705 -2103473.0320 279.5320
48 1.3812  -801.1776 -2103491.8728 260.6911
49 1.3912  -801.1844 -2103509.6206 242.9433
50 1.4013  -801.1908 -2103526.3323 226.2317
51 1.4113  -801.1967 -2103542.0618 210.5022
52 1.4213  -801.2024 -2103556.8606 195.7033
53 1.4313  -801.2077 -2103570.7779 181.7861
54 1.4414  -801.2127 -2103583.8601 168.7038
55 1.4514  -801.2173 -2103596.1518 156.4121
56 1.4614  -801.2217 -2103607.6951 144.8688
57 1.4714  -801.2259 -2103618.5302 134.0338
58 1.4815  -801.2297 -2103628.6949 123.8690
59 1.4915  -801.2334 -2103638.2256 114.3383
60 1.5015  -801.2368 -2103647.1565 105.4075
61 1.5115  -801.2400 -2103655.5200 97.0439
62 1.5216  -801.2429 -2103663.3470 89.2170
63 1.5316  -801.2457 -2103670.6666 81.8974
64 1.5416  -801.2483 -2103677.5064 75.0575
65 1.5516  -801.2508 -2103683.8927 68.6712
66 1.5617  -801.2530 -2103689.8503 62.7137
67 1.5717  -801.2552 -2103695.4025 57.1614
68 1.5817  -801.2571 -2103700.5719 51.9921
69 1.5917  -801.2590 -2103705.3794 47.1846
70 1.6018  -801.2607 -2103709.8451 42.7189
71 1.6118  -801.2622 -2103713.9881 38.5759
72 1.6218  -801.2637 -2103717.8264 34.7376
73 1.6318  -801.2650 -2103721.3770 31.1869
74 1.6419  -801.2663 -2103724.6564 27.9075
75 1.6519  -801.2674 -2103727.6800 24.8839
76 1.6619  -801.2685 -2103730.4626 22.1014
77 1.6719  -801.2695 -2103733.0181 19.5459
78 1.6820  -801.2704 -2103735.3599 17.2041
79 1.6920  -801.2712 -2103737.5007 15.0633
80 1.7020  -801.2719 -2103739.4525 13.1115
81 1.7120  -801.2726 -2103741.2268 11.3372
82 1.7221  -801.2732 -2103742.8343 9.7297
83 1.7321  -801.2738 -2103744.2852 8.2788
84 1.7421  -801.2743 -2103745.5891 6.9749
85 1.7521  -801.2747 -2103746.7548 5.8092
86 1.7622  -801.2751 -2103747.7908 4.7732
87 1.7722  -801.2755 -2103748.7048 3.8591
88 1.7822  -801.2758 -2103749.5043 3.0597
89 1.7922  -801.2760 -2103750.1962 2.3678
90 1.8023  -801.2762 -2103750.7869 1.7771
91 1.8123  -801.2764 -2103751.2826 1.2814
92 1.8223  -801.2766 -2103751.6891 0.8749
93 1.8323  -801.2767 -2103752.0118 0.5522
94 1.8424  -801.2768 -2103752.2559 0.3081
95 1.8524  -801.2769 -2103752.4262 0.1378
96 1.8624  -801.2769 -2103752.5274 0.0365
97 1.8724  -801.2769 -2103752.5640 0.0000
98 1.8825  -801.2769 -2103752.5400 0.0239
99 1.8925  -801.2769 -2103752.4592 0.1047
100 1.9025  -801.2768 -2103752.3257 0.2382
101 1.9125  -801.2768 -2103752.1426 0.4213
102 1.9226  -801.2767 -2103751.9133 0.6506
103 1.9326  -801.2766 -2103751.6409 0.9231
104 1.9426  -801.2765 -2103751.3280 1.2360
105 1.9526  -801.2763 -2103750.9772 1.5867
106 1.9627  -801.2762 -2103750.5910 1.9729
107 1.9727  -801.2760 -2103750.1715 2.3924
108 1.9827  -801.2758 -2103749.7207 2.8432
109 1.9927  -801.2757 -2103749.2405 3.3235
110 2.0028  -801.2755 -2103748.7326 3.8314
111 2.0128  -801.2753 -2103748.1985 4.3654
112 2.0228  -801.2750 -2103747.6399 4.9241
113 2.0328  -801.2748 -2103747.0579 5.5060
114 2.0429  -801.2746 -2103746.4541 6.1099
115 2.0529  -801.2744 -2103745.8294 6.7346
116 2.0629  -801.2741 -2103745.1850 7.3789
117 2.0729  -801.2739 -2103744.5220 8.0419
118 2.0830  -801.2736 -2103743.8414 8.7225
119 2.0930  -801.2733 -2103743.1441 9.4198
120 2.1030  -801.2731 -2103742.4311 10.1329
121 2.1130  -801.2728 -2103741.7031 10.8609
122 2.1231  -801.2725 -2103740.9610 11.6029
123 2.1331  -801.2722 -2103740.2057 12.3583
124 2.1431  -801.2719 -2103739.4378 13.1261
125 2.1531  -801.2716 -2103738.6582 13.9058
126 2.1632  -801.2713 -2103737.8676 14.6964
127 2.1732  -801.2710 -2103737.0666 15.4973
128 2.1832  -801.2707 -2103736.2560 16.3080
129 2.1932  -801.2704 -2103735.4364 17.1276
130 2.2033  -801.2701 -2103734.6082 17.9558
131 2.2133  -801.2698 -2103733.7719 18.7921
132 2.2233  -801.2694 -2103732.9280 19.6360
133 2.2333  -801.2691 -2103732.0767 20.4873
134 2.2434  -801.2688 -2103731.2183 21.3457
135 2.2534  -801.2685 -2103730.3531 22.2109
136 2.2634  -801.2681 -2103729.4806 23.0834
137 2.2734  -801.2678 -2103728.6027 23.9613
138 2.2835  -801.2675 -2103727.7180 24.8459
139 2.2935  -801.2671 -2103726.8272 25.7368
140 2.3035  -801.2668 -2103725.9304 26.6336
141 2.3135  -801.2664 -2103725.0279 27.5361
142 2.3236  -801.2661 -2103724.1201 28.4439
143 2.3336  -801.2657 -2103723.2069 29.3570
144 2.3436  -801.2654 -2103722.2889 30.2750
145 2.3536  -801.2650 -2103721.3666 31.1974
146 2.3637  -801.2647 -2103720.4396 32.1244
147 2.3737  -801.2643 -2103719.5091 33.0548
148 2.3837  -801.2640 -2103718.5747 33.9892
149 2.3937  -801.2636 -2103717.6376 34.9264
150 2.4038  -801.2633 -2103716.6971 35.8669
151 2.4138  -801.2629 -2103715.7546 36.8094
152 2.4238  -801.2625 -2103714.8097 37.7543
153 2.4338  -801.2622 -2103713.8630 38.7010
154 2.4439  -801.2618 -2103712.9147 39.6493
155 2.4539  -801.2615 -2103711.9647 40.5993
156 2.4639  -801.2611 -2103711.0136 41.5503
157 2.4739  -801.2607 -2103710.0573 42.5067
158 2.4840  -801.2604 -2103709.1109 43.4530
159 2.4940  -801.2600 -2103708.1556 44.4084
160 2.5040  -801.2596 -2103707.2102 45.3538
161 2.5140  -801.2593 -2103706.2560 46.3080
162 2.5241  -801.2589 -2103705.3073 47.2566
163 2.5341  -801.2586 -2103704.3522 48.2117
164 2.5441  -801.2582 -2103703.4227 49.1412
165 2.5541  -801.2578 -2103702.4772 50.0867
166 2.5642  -801.2575 -2103701.5470 51.0170
167 2.5742  -801.2571 -2103700.6104 51.9536
168 2.5842  -801.2568 -2103699.6964 52.8675
169 2.5942  -801.2564 -2103698.7801 53.7838
170 2.6043  -801.2761 -2103750.4258 2.1381
171 2.6143  -801.2758 -2103749.5971 2.9668
172 2.6243  -801.2755 -2103748.7622 3.8017
173 2.6343  -801.2752 -2103747.9281 4.6359
174 2.6444  -801.2748 -2103747.0871 5.4768
175 2.6544  -801.2745 -2103746.2461 6.3178
176 2.6644  -801.2742 -2103745.3998 7.1641
177 2.6744  -801.2739 -2103744.5541 8.0099
178 2.6845  -801.2735 -2103743.7038 8.8601
179 2.6945  -801.2732 -2103742.8549 9.7090
180 2.7045  -801.2729 -2103742.0022 10.5618
181 2.7145  -801.2726 -2103741.1514 11.4126
182 2.7246  -801.2723 -2103740.2974 12.2666
183 2.7346  -801.2719 -2103739.4460 13.1179
184 2.7446  -801.2716 -2103738.5921 13.9719
185 2.7546  -801.2713 -2103737.7415 14.8224
186 2.7647  -801.2710 -2103736.8889 15.6750
187 2.7747  -801.2706 -2103736.0403 16.5237
188 2.7847  -801.2703 -2103735.1902 17.3737
189 2.7947  -801.2700 -2103734.3447 18.2192
190 2.8048  -801.2697 -2103733.4982 19.0657
191 2.8148  -801.2693 -2103732.6569 19.9071
192 2.8248  -801.2690 -2103731.8151 20.7489
193 2.8348  -801.2687 -2103730.9789 21.5850
194 2.8449  -801.2684 -2103730.1427 22.4212
195 2.8549  -801.2681 -2103729.3127 23.2513
196 2.8649  -801.2678 -2103728.4828 24.0811
197 2.8749  -801.2674 -2103727.6597 24.9043
198 2.8850  -801.2671 -2103726.8370 25.7269
199 2.8950  -801.2668 -2103726.0214 26.5425
200 2.9050  -801.2665 -2103725.2066 27.3573
201 2.9150  -801.2662 -2103724.3993 28.1647
202 2.9251  -801.2659 -2103723.5930 28.9710
203 2.9351  -801.2656 -2103722.7944 29.7696
204 2.9451  -801.2653 -2103721.9970 30.5670
205 2.9551  -801.2650 -2103721.2075 31.3564
206 2.9652  -801.2647 -2103720.4195 32.1444
207 2.9752  -801.2644 -2103719.6403 32.9236
208 2.9852  -801.2641 -2103718.8630 33.7009
209 2.9952  -801.2638 -2103718.0922 34.4718
210 3.0053  -801.2635 -2103717.3262 35.2378
211 3.0153  -801.2632 -2103716.5637 36.0003
212 3.0253  -801.2629 -2103715.8086 36.7553
213 3.0353  -801.2626 -2103715.0585 37.5055
214 3.0454  -801.2624 -2103714.3119 38.2520
215 3.0554  -801.2621 -2103713.5731 38.9909
216 3.0654  -801.2618 -2103712.8377 39.7263
217 3.0754  -801.2615 -2103712.1109 40.4531
218 3.0855  -801.2612 -2103711.3869 41.1771
219 3.0955  -801.2610 -2103710.6702 41.8937
220 3.1055  -801.2607 -2103709.9574 42.6066
221 3.1155  -801.2604 -2103709.2535 43.3104
222 3.1256  -801.2602 -2103708.5527 44.0113
223 3.1356  -801.2599 -2103707.8600 44.7040
224 3.1456  -801.2596 -2103707.1710 45.3930
225 3.1556  -801.2594 -2103706.4904 46.0735
226 3.1657  -801.2591 -2103705.8137 46.7503
227 3.1757  -801.2589 -2103705.1454 47.4186
228 3.1857  -801.2586 -2103704.4810 48.0830
229 3.1957  -801.2584 -2103703.8252 48.7388
230 3.2058  -801.2581 -2103703.1734 49.3905
231 3.2158  -801.2579 -2103702.5304 50.0336
232 3.2258  -801.2576 -2103701.8914 50.6725
233 3.2358  -801.2574 -2103701.2613 51.3027
234 3.2459  -801.2571 -2103700.6354 51.9286
235 3.2559  -801.2569 -2103700.0184 52.5455
236 3.2659  -801.2567 -2103699.4058 53.1582
237 3.2759  -801.2564 -2103698.8022 53.7618
238 3.2860  -801.2562 -2103698.2030 54.3609
239 3.2960  -801.2560 -2103697.6130 54.9509
240 3.3060  -801.2558 -2103697.0290 55.5350
241 3.3160  -801.2556 -2103696.4518 56.1122
242 3.3261  -801.2553 -2103695.8801 56.6838
243 3.3361  -801.2551 -2103695.3180 57.2460
244 3.3461  -801.2549 -2103694.7622 57.8018
245 3.3561  -801.2547 -2103694.2135 58.3505
246 3.3662  -801.2545 -2103693.6718 58.8922
247 3.3762  -801.2543 -2103693.1381 59.4259
248 3.3862  -801.2541 -2103692.6102 59.9537
249 3.3962  -801.2539 -2103692.0919 60.4721
250 3.4063  -801.2537 -2103691.5817 60.9823
251 3.4163  -801.2535 -2103691.0774 61.4866
252 3.4263  -801.2533 -2103690.5823 61.9816
253 3.4363  -801.2531 -2103690.0968 62.4672
254 3.4464  -801.2529 -2103689.6172 62.9467
255 3.4564  -801.2528 -2103689.1476 63.4164
256 3.4664  -801.2526 -2103688.6896 63.8744
257 3.4764  -801.2524 -2103688.2375 64.3265
258 3.4865  -801.2523 -2103687.8002 64.7637
259 3.4965  -801.2521 -2103687.3698 65.1942
260 3.5065  -801.2519 -2103686.9559 65.6080
261 3.5165  -801.2518 -2103686.5505 66.0134
262 3.5266  -801.2516 -2103686.1781 66.3858
263 3.5366  -801.2515 -2103685.8221 66.7419
264 3.5466  -801.2642 -2103719.0962 33.4678
265 3.5566  -801.2639 -2103718.3540 34.2099
266 3.5667  -801.2636 -2103717.6227 34.9413
267 3.5767  -801.2633 -2103716.8836 35.6804
268 3.5867  -801.2631 -2103716.1564 36.4076
269 3.5967  -801.2628 -2103715.4216 37.1424
270 3.6068  -801.2625 -2103714.6991 37.8649
271 3.6168  -801.2622 -2103713.9742 38.5898
272 3.6268  -801.2620 -2103713.2525 39.3115
273 3.6368  -801.2617 -2103712.5336 40.0303
274 3.6469  -801.2614 -2103711.8180 40.7459
275 3.6569  -801.2611 -2103711.1057 41.4583
276 3.6669  -801.2609 -2103710.3968 42.1672
277 3.6769  -801.2606 -2103709.6913 42.8726
278 3.6870  -801.2603 -2103708.9895 43.5745
279 3.6970  -801.2601 -2103708.2907 44.2732
