0 0.9000  -1005.4985 -2639936.3296 722.1598
1 0.9100  -1005.5129 -2639974.0636 684.4259
2 0.9201  -1005.5264 -2640009.6463 648.8431
3 0.9301  -1005.5392 -2640043.1763 615.3131
4 0.9401  -1005.5512 -2640074.7601 583.7293
5 0.9501  -1005.5626 -2640104.4927 553.9968
6 0.9602  -1005.5732 -2640132.4707 526.0187
7 0.9702  -1005.5832 -2640158.7779 499.7115
8 0.9802  -1005.5926 -2640183.4982 474.9912
9 0.9902  -1005.6015 -2640206.7159 451.7735
10 1.0003  -1005.6098 -2640228.5024 429.9870
11 1.0103  -1005.6176 -2640248.9313 409.5581
12 1.0203  -1005.6249 -2640268.0747 390.4147
13 1.0303  -1005.6317 -2640285.9973 372.4921
14 1.0404  -1005.6381 -2640302.7621 355.7273
15 1.0504  -1005.6440 -2640318.4329 340.0565
16 1.0604  -1005.6496 -2640333.0662 325.4232
17 1.0704  -1005.6548 -2640346.7178 311.7716
18 1.0805  -1005.6597 -2640359.4412 299.0483
19 1.0905  -1005.6642 -2640371.2830 287.2064
20 1.1005  -1005.6684 -2640382.3054 276.1840
21 1.1105  -1005.6723 -2640392.5415 265.9479
22 1.1206  -1005.6759 -2640402.0400 256.4494
23 1.1306  -1005.6792 -2640410.8449 247.6445
24 1.1406  -1005.6823 -2640418.9951 239.4943
25 1.1506  -1005.6852 -2640426.5339 231.9555
26 1.1607  -1005.6879 -2640433.4957 224.9937
27 1.1707  -1005.6903 -2640439.9178 218.5717
28 1.1807  -1005.6926 -2640445.8338 212.6556
29 1.1907  -1005.6946 -2640451.2814 207.2080
30 1.2008  -1005.6965 -2640456.2897 202.1997
31 1.2108  -1005.6983 -2640460.8908 197.5986
32 1.2208  -1005.6999 -2640465.1112 193.3783
33 1.2308  -1005.7014 -2640468.9908 189.4986
34 1.2409  -1005.7027 -2640472.5409 185.9485
35 1.2509  -1005.7040 -2640475.8091 182.6803
36 1.2609  -1005.7051 -2640478.8034 179.6860
37 1.2709  -1005.7062 -2640481.5561 176.9333
38 1.2810  -1005.7071 -2640484.0909 174.3985
39 1.2910  -1005.7080 -2640486.4267 172.0627
40 1.3010  -1005.7089 -2640488.5932 169.8962
41 1.3110  -1005.7096 -2640490.6058 167.8837
42 1.3211  -1005.7103 -2640492.4867 166.0028
43 1.3311  -1005.7110 -2640494.2554 164.2341
44 1.3411  -1005.7116 -2640495.9332 162.5562
45 1.3511  -1005.7123 -2640497.5361 160.9534
46 1.3612  -1005.7128 -2640499.0825 159.4069
47 1.3712  -1005.7134 -2640500.5887 157.9007
48 1.3812  -1005.7140 -2640502.0690 156.4204
49 1.3912  -1005.7146 -2640503.5833 154.9062
50 1.4013  -1005.7154 -2640505.8860 152.6034
51 1.4113  -1005.7165 -2640508.7108 149.7787
52 1.4213  -1005.7177 -2640511.7375 146.7519
53 1.4313  -1005.7189 -2640514.8997 143.5897
54 1.4414  -1005.7201 -2640518.1550 140.3344
55 1.4514  -1005.7214 -2640521.4748 137.0147
56 1.4614  -1005.7227 -2640524.8363 133.6532
57 1.4714  -1005.7239 -2640528.2215 130.2679
58 1.4815  -1005.7252 -2640531.6192 126.8702
59 1.4915  -1005.7265 -2640535.0144 123.4750
60 1.5015  -1005.7278 -2640538.3981 120.0913
61 1.5115  -1005.7291 -2640541.7620 116.7274
62 1.5216  -1005.7304 -2640545.0986 113.3909
63 1.5316  -1005.7316 -2640548.4019 110.0875
64 1.5416  -1005.7329 -2640551.6665 106.8229
65 1.5516  -1005.7341 -2640554.8885 103.6009
66 1.5617  -1005.7353 -2640558.0633 100.4262
67 1.5717  -1005.7365 -2640561.1883 97.3011
68 1.5817  -1005.7377 -2640564.2597 94.2297
69 1.5917  -1005.7388 -2640567.2781 91.2114
