 89; 	 344.6298; 	    385; 	  1.5; 	10.00; 	"";
 90; 	 416.9070; 	   2394; 	  9.5; 	10.00; 	"";
 91; 	 418.1675; 	    214; 	  0.9; 	10.00; 	"";
 92; 	 467.9061; 	    259; 	  1.0; 	10.00; 	"";
 93; 	 624.1711; 	    261; 	  1.0; 	10.00; 	"";
 94; 	 663.1516; 	    282; 	  1.1; 	10.00; 	"";
 95; 	 690.5806; 	    256; 	  1.0; 	10.00; 	"";
 96; 	  51.3518; 	    106; 	  0.5; 	20.00; 	"";
 97; 	  63.0545; 	    106; 	  0.5; 	20.00; 	"";
 98; 	  77.0435; 	   2631; 	 13.2; 	20.00; 	"13.20";
 99; 	  77.1265; 	    350; 	  1.8; 	20.00; 	"";
100; 	  78.0595; 	    113; 	  0.6; 	20.00; 	"";
101; 	  79.0751; 	    124; 	  0.6; 	20.00; 	"";
102; 	  92.0421; 	    735; 	  3.7; 	20.00; 	"";
103; 	  93.0383; 	    128; 	  0.6; 	20.00; 	"";
104; 	 107.1192; 	  19966; 	100.0; 	20.00; 	"100.00";
105; 	 108.0487; 	    612; 	  3.1; 	20.00; 	"";
106; 	 118.4946; 	    192; 	  1.0; 	20.00; 	"";
107; 	 135.0362; 	   2250; 	 11.3; 	20.00; 	"11.30";
108; 	 136.1248; 	    317; 	  1.6; 	20.00; 	"";
109; 	 174.6585; 	    124; 	  0.6; 	20.00; 	"";
110; 	 216.8674; 	    259; 	  1.3; 	20.00; 	"";
111; 	 227.5912; 	    275; 	  1.4; 	20.00; 	"";
112; 	 244.8657; 	    266; 	  1.3; 	20.00; 	"";
113; 	 285.7713; 	    255; 	  1.3; 	20.00; 	"";
114; 	 373.9162; 	    154; 	  0.8; 	20.00; 	"";
115; 	 383.2277; 	    265; 	  1.3; 	20.00; 	"";
116; 	 416.8816; 	    100; 	  0.5; 	20.00; 	"";
117; 	 447.6267; 	    222; 	  1.1; 	20.00; 	"";
118; 	 590.0986; 	    265; 	  1.3; 	20.00; 	"";
119; 	  33.4124; 	    112; 	  0.8; 	40.00; 	"";
120; 	  39.0261; 	    121; 	  0.8; 	40.00; 	"";
121; 	  51.0218; 	    135; 	  0.9; 	40.00; 	"";
122; 	  54.9744; 	    262; 	  1.8; 	40.00; 	"";
123; 	  63.0187; 	    102; 	  0.7; 	40.00; 	"";
124; 	  64.0301; 	    103; 	  0.7; 	40.00; 	"";
125; 	  64.1134; 	    177; 	  1.2; 	40.00; 	"";
126; 	  77.0395; 	  14729; 	100.0; 	40.00; 	"100.00";
127; 	  77.1275; 	   3216; 	 21.8; 	40.00; 	"21.80";
128; 	  78.0422; 	    554; 	  3.8; 	40.00; 	"";
129; 	  78.1285; 	    176; 	  1.2; 	40.00; 	"";
130; 	  79.0545; 	    579; 	  3.9; 	40.00; 	"";
131; 	  79.1407; 	    237; 	  1.6; 	40.00; 	"";
132; 	  92.0265; 	   5482; 	 37.2; 	40.00; 	"37.20";
133; 	  92.1202; 	    112; 	  0.8; 	40.00; 	"";
134; 	  93.0312; 	    110; 	  0.7; 	40.00; 	"";
135; 	  97.4526; 	    110; 	  0.7; 	40.00; 	"";
136; 	 107.0505; 	   9195; 	 62.4; 	40.00; 	"62.40";
137; 	 108.0519; 	    397; 	  2.7; 	40.00; 	"";
138; 	 206.8890; 	    258; 	  1.8; 	40.00; 	"";
139; 	 436.9804; 	    229; 	  1.6; 	40.00; 	"";
140; 	 512.0821; 	    276; 	  1.9; 	40.00; 	"";
141; 	 531.2528; 	    222; 	  1.5; 	40.00; 	"";
142; 	 679.1393; 	    280; 	  1.9; 	40.00; 	"";
