# Ev; 	 419.1800; 	 135.0600; 	 107.0500; 	  92.0300; 	  77.0400;
 0.00;	  36.5000;	  11.3000;	  37.7000;	  37.2000;	   2.1000;
 0.01;	   0.0000;	 100.0000;	  36.5000;	   0.5000;	   2.1000;
 0.10;	   0.0000;	 100.0000;	  41.5000;	   0.0000;	   4.2000;
 1.00;	  36.5000;	 100.0000;	  33.9000;	   0.0000;	   2.0000;
10.00;	   0.0000;	   0.0000;	 100.0000;	   1.2000;	   7.0000;
20.00;	   0.0000;	  11.3000;	 100.0000;	   3.7000;	  13.2000;
40.00;	   0.0000;	   0.0000;	  62.4000;	  37.2000;	 100.0000;
