# Ev; 	 135.0600; 	 107.0500; 	  92.0300; 	  77.0400;
 0.00;	   0.0000;	   0.0000;	   0.0000;	  36.8000;
 0.01;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 0.10;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 1.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
10.00;	   0.0000;	   0.0000;	   0.0000;	  36.8000;
20.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
40.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
