 0; 	  74.0900; 	  81757; 	 16.2; 	"74.09";
 1; 	  75.0161; 	   1344; 	  0.3; 	"";
 2; 	  76.0248; 	   4707; 	  0.9; 	"";
 3; 	 154.9375; 	 359071; 	 71.1; 	"154.94";
 4; 	 155.9437; 	  27603; 	  5.5; 	"";
 5; 	 156.9394; 	 505112; 	100.0; 	"156.94";
 6; 	 157.9425; 	  25308; 	  5.0; 	"";
 7; 	 182.9468; 	  59938; 	 11.9; 	"182.95";
 8; 	 183.1533; 	   2451; 	  0.5; 	"";
 9; 	 183.9500; 	   1480; 	  0.3; 	"";
10; 	 184.9472; 	  94546; 	 18.7; 	"184.95";
11; 	 185.9479; 	   1360; 	  0.3; 	"";
13.7184
