 0; 	  74.0917; 	  68753; 	 14.2; 	"74.09";
 1; 	  75.0186; 	   2000; 	  0.4; 	"";
 2; 	  76.0273; 	   4511; 	  0.9; 	"";
 3; 	 154.9408; 	 340600; 	 70.5; 	"154.94";
 4; 	 155.9486; 	  28421; 	  5.9; 	"";
 5; 	 156.9410; 	 483395; 	100.0; 	"156.94";
 6; 	 157.9434; 	  24815; 	  5.1; 	"";
 7; 	 182.9495; 	  96245; 	 19.9; 	"182.95";
 8; 	 183.1547; 	   5766; 	  1.2; 	"";
 9; 	 183.9520; 	   4009; 	  0.8; 	"";
10; 	 184.9466; 	 148818; 	 30.8; 	"184.95";
11; 	 185.1561; 	   1432; 	  0.3; 	"";
12; 	 185.9502; 	   4476; 	  0.9; 	"";
