 0; 	  39.0238; 	  46252; 	 20.7; 	"39.02";
 1; 	  39.0772; 	    867; 	  0.4; 	"";
 2; 	  40.0275; 	   1895; 	  0.9; 	"";
 3; 	  44.9981; 	   3429; 	  1.5; 	"";
 4; 	  50.0154; 	    878; 	  0.4; 	"";
 5; 	  51.0238; 	 183616; 	 82.4; 	"51.02";
 6; 	  52.0252; 	  13363; 	  6.0; 	"";
 7; 	  53.0029; 	  25205; 	 11.3; 	"53.00";
 8; 	  53.0656; 	    509; 	  0.2; 	"";
 9; 	  54.0024; 	   1581; 	  0.7; 	"";
10; 	  63.0231; 	   3693; 	  1.7; 	"";
11; 	  64.0317; 	  11562; 	  5.2; 	"";
12; 	  66.0333; 	  12770; 	  5.7; 	"";
13; 	  67.0204; 	   5941; 	  2.7; 	"";
14; 	  68.0185; 	   1001; 	  0.4; 	"";
15; 	  74.0983; 	   1095; 	  0.5; 	"";
16; 	  76.0191; 	   1378; 	  0.6; 	"";
17; 	  78.0346; 	  75585; 	 33.9; 	"78.03";
18; 	  79.0366; 	   6301; 	  2.8; 	"";
19; 	  80.0119; 	    602; 	  0.3; 	"";
20; 	  92.0260; 	 202380; 	 90.8; 	"92.03";
21; 	  93.0290; 	  17488; 	  7.8; 	"";
22; 	  94.0287; 	 222955; 	100.0; 	"94.03";
23; 	  95.0324; 	  14263; 	  6.4; 	"";
24; 	  96.0356; 	    627; 	  0.3; 	"";
25; 	 104.0132; 	   1069; 	  0.5; 	"";
26; 	 110.0094; 	  21217; 	  9.5; 	"";
27; 	 111.0083; 	    643; 	  0.3; 	"";
28; 	 122.0310; 	   3109; 	  1.4; 	"";
29; 	 150.0300; 	 180498; 	 81.0; 	"150.03";
30; 	 151.0309; 	  15393; 	  6.9; 	"";
31; 	 152.0353; 	   1333; 	  0.6; 	"";
