# Ev; 	 386.0100; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 0.01;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 0.10;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 1.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
10.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
20.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
40.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
