 0; 	  31.7943; 	    220; 	 12.9; 	"31.79";
 1; 	  37.2333; 	    276; 	 16.1; 	"37.23";
 2; 	  61.9080; 	    266; 	 15.6; 	"61.91";
 3; 	 109.2162; 	    270; 	 15.8; 	"109.22";
 4; 	 122.0233; 	    417; 	 24.4; 	"122.02";
 5; 	 152.0552; 	   1710; 	100.0; 	"152.06";
 6; 	 155.0486; 	    315; 	 18.4; 	"155.05";
 7; 	 224.2306; 	    271; 	 15.9; 	"224.23";
 8; 	 276.1061; 	    259; 	 15.2; 	"276.11";
 9; 	 286.2677; 	    201; 	 11.8; 	"286.27";
10; 	 424.5848; 	    138; 	  8.1; 	"";
11; 	 495.2589; 	    142; 	  8.3; 	"";
12; 	 519.1293; 	    129; 	  7.5; 	"";
