 0; 	  23.8026; 	    210; 	 21.7; 	"23.80";
 1; 	  31.1297; 	    224; 	 23.2; 	"31.13";
 2; 	  35.2607; 	    261; 	 27.0; 	"35.26";
 3; 	  37.9803; 	    263; 	 27.2; 	"37.98";
 4; 	  69.7583; 	    136; 	 14.1; 	"69.76";
 5; 	 108.9713; 	    246; 	 25.5; 	"108.97";
 6; 	 122.0208; 	    197; 	 20.4; 	"122.02";
 7; 	 136.4339; 	    260; 	 26.9; 	"136.43";
 8; 	 137.0919; 	    260; 	 26.9; 	"137.09";
 9; 	 137.4428; 	    257; 	 26.6; 	"137.44";
10; 	 152.0586; 	    967; 	100.0; 	"152.06";
11; 	 155.0474; 	    349; 	 36.0; 	"155.05";
12; 	 163.1372; 	    261; 	 27.0; 	"163.14";
13; 	 399.7598; 	    261; 	 27.0; 	"399.76";
