0 0.9000  -1302.1386 -3418764.8546 774.0588
1 0.9100  -1302.1653 -3418835.0721 703.8413
2 0.9201  -1302.1901 -3418900.1500 638.7633
3 0.9301  -1302.2131 -3418960.4234 578.4899
4 0.9401  -1302.2343 -3419016.1727 522.7406
5 0.9501  -1302.2539 -3419067.6828 471.2306
6 0.9602  -1302.2720 -3419115.2228 423.6905
7 0.9702  -1302.2887 -3419159.0389 379.8744
8 0.9802  -1302.3041 -3419199.3674 339.5459
9 0.9902  -1302.3182 -3419236.4916 302.4218
10 1.0003  -1302.3312 -3419270.4796 268.4337
11 1.0103  -1302.3430 -3419301.6170 237.2963
12 1.0203  -1302.3539 -3419330.0534 208.8599
13 1.0303  -1302.3637 -3419355.9709 182.9425
14 1.0404  -1302.3727 -3419379.5328 159.3805
15 1.0504  -1302.3808 -3419400.8919 138.0214
16 1.0604  -1302.3882 -3419420.1927 118.7206
17 1.0704  -1302.3948 -3419437.5717 101.3416
18 1.0805  -1302.4007 -3419453.1581 85.7553
19 1.0905  -1302.4060 -3419467.0723 71.8411
20 1.1005  -1302.4108 -3419479.4282 59.4851
21 1.1105  -1302.4149 -3419490.3320 48.5813
22 1.1206  -1302.4185 -3419499.8838 39.0296
23 1.1306  -1302.4217 -3419508.1757 30.7376
24 1.1406  -1302.4244 -3419515.2953 23.6180
25 1.1506  -1302.4267 -3419521.3250 17.5884
26 1.1607  -1302.4286 -3419526.3415 12.5718
27 1.1707  -1302.4302 -3419530.4163 8.4970
28 1.1807  -1302.4314 -3419533.6178 5.2956
29 1.1907  -1302.4323 -3419536.0092 2.9041
30 1.2008  -1302.4329 -3419537.6470 1.2664
31 1.2108  -1302.4333 -3419538.6022 0.3111
32 1.2208  -1302.4334 -3419538.9133 0.0000
33 1.2308  -1302.4333 -3419538.6351 0.2783
34 1.2409  -1302.4330 -3419537.8149 1.0985
35 1.2509  -1302.4325 -3419536.4944 2.4190
36 1.2609  -1302.4318 -3419534.7165 4.1968
37 1.2709  -1302.4310 -3419532.5174 6.3959
38 1.2810  -1302.4300 -3419529.9295 8.9839
39 1.2910  -1302.4289 -3419526.9923 11.9211
40 1.3010  -1302.4276 -3419523.7290 15.1844
41 1.3110  -1302.4263 -3419520.1686 18.7448
42 1.3211  -1302.4248 -3419516.3390 22.5743
43 1.3311  -1302.4233 -3419512.2614 26.6519
44 1.3411  -1302.4216 -3419507.9587 30.9546
45 1.3511  -1302.4199 -3419503.4517 35.4616
46 1.3612  -1302.4181 -3419498.7596 40.1538
47 1.3712  -1302.4163 -3419493.8985 45.0149
48 1.3812  -1302.4144 -3419488.8846 50.0287
49 1.3912  -1302.4124 -3419483.7354 55.1779
50 1.4013  -1302.4104 -3419478.4634 60.4499
51 1.4113  -1302.4083 -3419473.0814 65.8319
52 1.4213  -1302.4062 -3419467.6022 71.3112
53 1.4313  -1302.4041 -3419462.0396 76.8737
54 1.4414  -1302.4020 -3419456.3997 82.5136
55 1.4514  -1302.3998 -3419450.6950 88.2183
56 1.4614  -1302.3976 -3419444.9350 93.9784
57 1.4714  -1302.3954 -3419439.1287 99.7846
58 1.4815  -1302.3932 -3419433.2806 105.6327
59 1.4915  -1302.3909 -3419427.4024 111.5109
60 1.5015  -1302.3887 -3419421.4956 117.4177
61 1.5115  -1302.3864 -3419415.5690 123.3443
62 1.5216  -1302.3842 -3419409.6286 129.2848
63 1.5316  -1302.3819 -3419403.6803 135.2331
64 1.5416  -1302.3796 -3419397.7251 141.1883
65 1.5516  -1302.3774 -3419391.7732 147.1401
66 1.5617  -1302.3751 -3419385.8222 153.0912
67 1.5717  -1302.3728 -3419379.8834 159.0300
68 1.5817  -1302.3706 -3419373.9538 164.9595
69 1.5917  -1302.3683 -3419368.0350 170.8783
70 1.6018  -1302.3661 -3419362.1521 176.7613
71 1.6118  -1302.3638 -3419356.2833 182.6301
72 1.6218  -1302.3616 -3419350.4420 188.4714
73 1.6318  -1302.3594 -3419344.6313 194.2821
74 1.6419  -1302.3572 -3419338.8523 200.0611
75 1.6519  -1302.3550 -3419333.1085 205.8049
76 1.6619  -1302.3528 -3419327.4051 211.5082
77 1.6719  -1302.3507 -3419321.7388 217.1746
78 1.6820  -1302.3486 -3419316.1195 222.7938
79 1.6920  -1302.3464 -3419310.5417 228.3716
80 1.7020  -1302.3443 -3419305.0096 233.9037
81 1.7120  -1302.3422 -3419299.5261 239.3873
82 1.7221  -1302.3402 -3419294.0944 244.8189
83 1.7321  -1302.3381 -3419288.7124 250.2010
84 1.7421  -1302.3361 -3419283.3865 255.5268
85 1.7521  -1302.3341 -3419278.1133 260.8000
86 1.7622  -1302.3321 -3419272.8951 266.0182
87 1.7722  -1302.3301 -3419267.7396 271.1737
88 1.7822  -1302.3282 -3419262.6397 276.2736
89 1.7922  -1302.3263 -3419257.6001 281.3132
90 1.8023  -1302.3244 -3419252.6242 286.2892
91 1.8123  -1302.3225 -3419247.7094 291.2039
92 1.8223  -1302.3206 -3419242.8609 296.0525
93 1.8323  -1302.3188 -3419238.0770 300.8363
94 1.8424  -1302.3170 -3419233.3581 305.5553
95 1.8524  -1302.3153 -3419228.7080 310.2053
96 1.8624  -1302.3135 -3419224.1219 314.7914
97 1.8724  -1302.3118 -3419219.6082 319.3051
98 1.8825  -1302.3101 -3419215.1589 323.7544
99 1.8925  -1302.3084 -3419210.7832 328.1301
100 1.9025  -1302.3068 -3419206.4725 332.4408
101 1.9125  -1302.3052 -3419202.2361 336.6772
102 1.9226  -1302.3036 -3419198.0649 340.8484
103 1.9326  -1302.3020 -3419193.9683 344.9450
104 1.9426  -1302.3005 -3419189.9369 348.9764
105 1.9526  -1302.2990 -3419185.9800 352.9333
106 1.9627  -1302.2975 -3419182.0881 356.8253
107 1.9727  -1302.2960 -3419178.2701 360.6432
108 1.9827  -1302.2946 -3419174.5166 364.3967
109 1.9927  -1302.2932 -3419170.8364 368.0769
110 2.0028  -1302.2918 -3419167.2199 371.6934
111 2.0128  -1302.2905 -3419163.6758 375.2375
112 2.0228  -1302.2892 -3419160.1946 378.7188
113 2.0328  -1302.2879 -3419156.7844 382.1290
114 2.0429  -1302.2866 -3419153.4360 385.4773
115 2.0529  -1302.2853 -3419150.1568 388.7566
116 2.0629  -1302.2841 -3419146.9308 391.9825
117 2.0729  -1302.2829 -3419143.7888 395.1245
118 2.0830  -1302.2817 -3419140.6978 398.2156
119 2.0930  -1302.2806 -3419137.6635 401.2498
120 2.1030  -1302.2795 -3419134.6985 404.2148
121 2.1130  -1302.2783 -3419131.7987 407.1146
122 2.1231  -1302.2773 -3419128.9506 409.9627
123 2.1331  -1302.2762 -3419126.1613 412.7520
124 2.1431  -1302.2752 -3419123.4237 415.4896
125 2.1531  -1302.2741 -3419120.7507 418.1626
126 2.1632  -1302.2731 -3419118.1230 420.7904
127 2.1732  -1302.2722 -3419115.5607 423.3526
128 2.1832  -1302.2712 -3419113.0431 425.8703
129 2.1932  -1302.2703 -3419110.5776 428.3357
130 2.2033  -1302.2693 -3419108.1533 430.7600
131 2.2133  -1302.2684 -3419105.7977 433.1156
132 2.2233  -1302.2676 -3419103.4718 435.4415
133 2.2333  -1302.2667 -3419101.2042 437.7091
134 2.2434  -1302.2658 -3419098.9687 439.9446
135 2.2534  -1302.2650 -3419096.7962 442.1171
136 2.2634  -1302.2642 -3419094.6506 444.2628
137 2.2734  -1302.2634 -3419092.5641 446.3492
138 2.2835  -1302.2626 -3419090.5094 448.4039
139 2.2935  -1302.2619 -3419088.4957 450.4176
140 2.3035  -1302.2611 -3419086.5232 452.3901
141 2.3135  -1302.2604 -3419084.5890 454.3244
142 2.3236  -1302.2596 -3419082.6963 456.2171
143 2.3336  -1302.2589 -3419080.8398 458.0736
144 2.3436  -1302.2582 -3419079.0200 459.8933
145 2.3536  -1302.2576 -3419077.2368 461.6765
146 2.3637  -1302.2569 -3419075.4887 463.4246
147 2.3737  -1302.2562 -3419073.7759 465.1374
148 2.3837  -1302.2556 -3419072.0980 466.8154
149 2.3937  -1302.2550 -3419070.4531 468.4602
150 2.4038  -1302.2544 -3419068.8409 470.0725
151 2.4138  -1302.2538 -3419067.2603 471.6530
152 2.4238  -1302.2532 -3419065.7122 473.2011
153 2.4338  -1302.2526 -3419064.1941 474.7192
154 2.4439  -1302.2520 -3419062.7066 476.2068
155 2.4539  -1302.2515 -3419061.2480 477.6653
156 2.4639  -1302.2509 -3419059.8181 479.0952
157 2.4739  -1302.2504 -3419058.4162 480.4971
158 2.4840  -1302.2499 -3419057.0414 481.8719
159 2.4940  -1302.2494 -3419055.6939 483.2194
160 2.5040  -1302.2489 -3419054.3722 484.5411
161 2.5140  -1302.2484 -3419053.0763 485.8370
162 2.5241  -1302.2479 -3419051.8052 487.1081
163 2.5341  -1302.2474 -3419050.5587 488.3547
164 2.5441  -1302.2469 -3419049.3361 489.5773
165 2.5541  -1302.2465 -3419048.1343 490.7790
166 2.5642  -1302.2460 -3419046.9582 491.9551
167 2.5742  -1302.2456 -3419045.8028 493.1105
168 2.5842  -1302.2452 -3419044.6643 494.2490
169 2.5942  -1302.2447 -3419043.5709 495.3425
170 2.6043  -1302.2443 -3419042.4751 496.4383
171 2.6143  -1302.2439 -3419041.4143 497.4990
172 2.6243  -1302.2435 -3419040.3593 498.5540
173 2.6343  -1302.2431 -3419039.3392 499.5741
174 2.6444  -1302.2427 -3419038.3239 500.5895
175 2.6544  -1302.2424 -3419037.3429 501.5704
176 2.6644  -1302.2420 -3419036.3657 502.5476
177 2.6744  -1302.2416 -3419035.4216 503.4917
178 2.6845  -1302.2413 -3419034.4811 504.4322
179 2.6945  -1302.2409 -3419033.5732 505.3401
180 2.7045  -1302.2406 -3419032.6681 506.2452
181 2.7145  -1302.2403 -3419031.7946 507.1187
182 2.7246  -1302.2399 -3419030.9238 507.9895
183 2.7346  -1302.2396 -3419030.0836 508.8298
184 2.7446  -1302.2393 -3419029.2456 509.6678
185 2.7546  -1302.2390 -3419028.4374 510.4759
186 2.7647  -1302.2387 -3419027.6311 511.2823
187 2.7747  -1302.2384 -3419026.8538 512.0596
188 2.7847  -1302.2381 -3419026.0780 512.8353
189 2.7947  -1302.2378 -3419025.3305 513.5829
190 2.8048  -1302.2375 -3419024.5841 514.3293
191 2.8148  -1302.2372 -3419023.8652 515.0481
192 2.8248  -1302.2370 -3419023.1470 515.7664
193 2.8348  -1302.2367 -3419022.4558 516.4575
194 2.8449  -1302.2364 -3419021.7647 517.1486
195 2.8549  -1302.2362 -3419021.1001 517.8132
196 2.8649  -1302.2359 -3419020.4351 518.4782
197 2.8749  -1302.2357 -3419019.7960 519.1173
198 2.8850  -1302.2354 -3419019.1560 519.7573
199 2.8950  -1302.2352 -3419018.5416 520.3718
200 2.9050  -1302.2350 -3419017.9258 520.9876
201 2.9150  -1302.2347 -3419017.3348 521.5785
202 2.9251  -1302.2345 -3419016.7421 522.1712
203 2.9351  -1302.2343 -3419016.1742 522.7392
204 2.9451  -1302.2341 -3419015.6039 523.3094
205 2.9551  -1302.2339 -3419015.0576 523.8557
206 2.9652  -1302.2337 -3419014.5088 524.4045
207 2.9752  -1302.2335 -3419013.9848 524.9286
208 2.9852  -1302.2333 -3419013.4571 525.4563
209 2.9952  -1302.2331 -3419012.9507 525.9627
210 3.0053  -1302.2329 -3419012.4422 526.4711
211 3.0153  -1302.2327 -3419011.9576 526.9558
212 3.0253  -1302.2325 -3419011.4689 527.4445
213 3.0353  -1302.2323 -3419011.0005 527.9128
214 3.0454  -1302.2322 -3419010.5295 528.3838
215 3.0554  -1302.2320 -3419010.0814 528.8319
216 3.0654  -1302.2318 -3419009.6320 529.2813
217 3.0754  -1302.2316 -3419009.1916 529.7217
218 3.0855  -1302.2315 -3419008.7600 530.1534
219 3.0955  -1302.2313 -3419008.3371 530.5763
220 3.1055  -1302.2312 -3419007.9226 530.9908
221 3.1155  -1302.2310 -3419007.5158 531.3976
222 3.1256  -1302.2309 -3419007.1177 531.7957
223 3.1356  -1302.2307 -3419006.7263 532.1870
224 3.1456  -1302.2306 -3419006.3439 532.5694
225 3.1556  -1302.2304 -3419005.9689 532.9445
226 3.1657  -1302.2303 -3419005.6008 533.3125
227 3.1757  -1302.2301 -3419005.2405 533.6728
