# Ev; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	  18.3000;	  26.3000;	   8.4000;	  48.2000;
 0.01;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 0.10;	   0.0000;	  26.3000;	   0.0000;	   0.0000;
 1.00;	   0.0000;	 100.0000;	  39.3000;	   0.0000;
10.00;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
20.00;	   0.0000;	   0.0000;	  33.6000;	  48.2000;
40.00;	   0.0000;	   0.0000;	   0.0000;	  92.6000;
