 0; 	  33.3547; 	    133; 	 38.8; 	"33.35";
 1; 	  44.9968; 	    134; 	 39.1; 	"45.00";
 2; 	  51.0232; 	    125; 	 36.5; 	"51.02";
 3; 	  83.2147; 	    274; 	 79.8; 	"83.21";
 4; 	  95.0446; 	    129; 	 37.7; 	"95.04";
 5; 	 116.0492; 	    343; 	100.0; 	"116.05";
 6; 	 120.0416; 	    219; 	 63.9; 	"120.04";
 7; 	 152.1325; 	    246; 	 71.6; 	"152.13";
 8; 	 183.5753; 	    259; 	 75.4; 	"183.58";
 9; 	 197.1963; 	    269; 	 78.4; 	"197.20";
10; 	 230.6188; 	    114; 	 33.2; 	"230.62";
11; 	 310.9974; 	    258; 	 75.1; 	"311.00";
12; 	 579.0067; 	    259; 	 75.4; 	"579.01";
13; 	 610.3776; 	    184; 	 53.7; 	"610.38";
