 86; 	  51.0235; 	    274; 	100.0; 	40.00; 	"100.00";
 87; 	  51.3318; 	    150; 	 54.7; 	40.00; 	"54.70";
 88; 	  55.0173; 	    119; 	 43.5; 	40.00; 	"43.50";
 89; 	  75.0245; 	    254; 	 92.6; 	40.00; 	"92.60";
 90; 	  75.1090; 	    122; 	 44.3; 	40.00; 	"44.30";
 91; 	  90.3174; 	    106; 	 38.6; 	40.00; 	"38.60";
 92; 	  98.8627; 	    107; 	 38.9; 	40.00; 	"38.90";
 93; 	 115.6436; 	    268; 	 97.6; 	40.00; 	"97.60";
 94; 	 162.8225; 	    233; 	 84.8; 	40.00; 	"84.80";
 95; 	 172.2723; 	    144; 	 52.6; 	40.00; 	"52.60";
 96; 	 203.5730; 	    233; 	 85.0; 	40.00; 	"85.00";
 97; 	 219.2741; 	    256; 	 93.3; 	40.00; 	"93.30";
 98; 	 691.5723; 	    102; 	 37.2; 	40.00; 	"37.20";
