# Ev; 	 449.0100; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	  68.0000;	 100.0000;	  57.3000;	   2.4000;	   1.4000;
 0.01;	  63.8000;	 100.0000;	  53.9000;	   1.6000;	   3.1000;
 0.10;	  68.0000;	 100.0000;	  57.3000;	   2.0000;	   2.2000;
 1.00;	  44.7000;	 100.0000;	  58.3000;	   1.4000;	   1.4000;
10.00;	   0.0000;	  50.8000;	 100.0000;	   4.2000;	   4.0000;
20.00;	   0.0000;	   0.0000;	 100.0000;	   6.8000;	   7.4000;
40.00;	   0.0000;	   0.0000;	  78.2000;	  79.8000;	 100.0000;
