 0; 	  50.7628; 	    261; 	 95.2; 	"50.76";
 1; 	  51.0235; 	    274; 	100.0; 	"51.02";
 2; 	  51.3318; 	    150; 	 54.7; 	"51.33";
 3; 	  55.0173; 	    119; 	 43.5; 	"55.02";
 4; 	  75.0245; 	    254; 	 92.6; 	"75.02";
 5; 	  75.1090; 	    122; 	 44.3; 	"75.11";
 6; 	  90.3174; 	    106; 	 38.6; 	"90.32";
 7; 	  98.8627; 	    107; 	 38.9; 	"98.86";
 8; 	 115.6436; 	    268; 	 97.6; 	"115.64";
 9; 	 162.8225; 	    233; 	 84.8; 	"162.82";
10; 	 172.2723; 	    144; 	 52.6; 	"172.27";
11; 	 203.5730; 	    233; 	 85.0; 	"203.57";
12; 	 219.2741; 	    256; 	 93.3; 	"219.27";
13; 	 691.5723; 	    102; 	 37.2; 	"691.57";
