# Ev; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	  16.9000;	  90.6000;	  23.4000;	   5.4000;
 0.01;	   0.0000;	  90.6000;	   0.0000;	   0.0000;
 0.10;	   0.0000;	  49.8000;	  20.8000;	   5.4000;
 1.00;	   0.0000;	 100.0000;	   0.0000;	   0.0000;
10.00;	   0.0000;	   0.0000;	  64.5000;	  27.3000;
20.00;	   0.0000;	   0.0000;	   0.0000;	 100.0000;
40.00;	   0.0000;	   0.0000;	   0.0000;	 100.0000;
