 0; 	  25.0232; 	    172; 	 40.6; 	"25.02";
 1; 	  27.4328; 	    141; 	 33.4; 	"27.43";
 2; 	  51.0265; 	    319; 	 75.3; 	"51.03";
 3; 	  53.3020; 	    265; 	 62.5; 	"53.30";
 4; 	  55.0506; 	    107; 	 25.3; 	"55.05";
 5; 	  75.0438; 	    424; 	100.0; 	"75.04";
 6; 	 120.0474; 	    106; 	 25.0; 	"120.05";
 7; 	 152.0573; 	    249; 	 58.8; 	"152.06";
 8; 	 187.2552; 	    267; 	 63.0; 	"187.26";
 9; 	 193.3689; 	    145; 	 34.2; 	"193.37";
10; 	 449.2210; 	    237; 	 55.9; 	"449.22";
11; 	 555.1107; 	    232; 	 54.7; 	"555.11";
