# Ev; 	 449.0100; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	   0.0000;	 100.0000;	  46.3000;	   2.4000;	   1.5000;
 0.01;	   0.0000;	 100.0000;	  49.3000;	   1.1000;	   0.5000;
 0.10;	   0.0000;	 100.0000;	  46.1000;	   1.3000;	   1.5000;
 1.00;	   0.0000;	 100.0000;	  48.8000;	   1.3000;	   2.8000;
10.00;	   0.0000;	  65.9000;	 100.0000;	   3.4000;	   2.0000;
20.00;	   0.0000;	  10.5000;	 100.0000;	  10.2000;	   6.3000;
40.00;	   0.0000;	   0.0000;	 100.0000;	  38.3000;	  56.3000;
