 0; 	  22.5810; 	    112; 	 30.0; 	"22.58";
 1; 	  32.7814; 	    258; 	 69.3; 	"32.78";
 2; 	  57.7238; 	    125; 	 33.6; 	"57.72";
 3; 	  75.0251; 	    101; 	 27.3; 	"75.03";
 4; 	  76.0316; 	    130; 	 35.0; 	"76.03";
 5; 	  92.0508; 	    240; 	 64.5; 	"92.05";
 6; 	 107.0146; 	    134; 	 36.1; 	"107.01";
 7; 	 120.0424; 	    109; 	 29.4; 	"120.04";
 8; 	 123.0754; 	    105; 	 28.2; 	"123.08";
 9; 	 152.0635; 	    107; 	 28.9; 	"152.06";
10; 	 221.4379; 	    372; 	100.0; 	"221.44";
11; 	 260.9012; 	    235; 	 63.3; 	"260.90";
12; 	 477.3919; 	    143; 	 38.5; 	"477.39";
13; 	 497.4143; 	    225; 	 60.5; 	"497.41";
14; 	 673.0281; 	    281; 	 75.6; 	"673.03";
15; 	 698.5376; 	    125; 	 33.7; 	"698.54";
