 0; 	  41.1287; 	    257; 	 19.9; 	"41.13";
 1; 	  43.0021; 	    268; 	 20.7; 	"43.00";
 2; 	  47.2351; 	    267; 	 20.7; 	"47.24";
 3; 	  75.0218; 	    106; 	  8.2; 	"";
 4; 	 116.0449; 	    126; 	  9.8; 	"";
 5; 	 122.0228; 	    695; 	 53.8; 	"122.02";
 6; 	 131.6871; 	    268; 	 20.7; 	"131.69";
 7; 	 148.0363; 	   1292; 	100.0; 	"148.04";
 8; 	 149.0212; 	    254; 	 19.6; 	"149.02";
 9; 	 150.0300; 	    219; 	 16.9; 	"150.03";
10; 	 155.0461; 	    104; 	  8.1; 	"";
11; 	 156.0945; 	    118; 	  9.1; 	"";
12; 	 157.0244; 	    308; 	 23.9; 	"157.02";
13; 	 164.0266; 	    131; 	 10.2; 	"164.03";
14; 	 167.9271; 	    135; 	 10.4; 	"167.93";
15; 	 313.4402; 	    253; 	 19.6; 	"313.44";
16; 	 438.1633; 	    274; 	 21.2; 	"438.16";
17; 	 508.2568; 	    274; 	 21.2; 	"508.26";
18; 	 512.8413; 	    258; 	 20.0; 	"512.84";
19; 	 562.0167; 	    120; 	  9.3; 	"";
20; 	 566.3086; 	    135; 	 10.4; 	"566.31";
