 85; 	 341.2288; 	    101; 	 13.4; 	 1.00; 	"13.40";
 86; 	 353.8477; 	    114; 	 15.2; 	 1.00; 	"15.20";
 87; 	 637.1515; 	    265; 	 35.3; 	 1.00; 	"35.30";
 88; 	  22.5810; 	    112; 	 30.0; 	10.00; 	"30.00";
 89; 	  32.7814; 	    258; 	 69.3; 	10.00; 	"69.30";
 90; 	  57.7238; 	    125; 	 33.6; 	10.00; 	"33.60";
 91; 	  75.0251; 	    101; 	 27.3; 	10.00; 	"27.30";
 92; 	  76.0316; 	    130; 	 35.0; 	10.00; 	"35.00";
 93; 	  92.0508; 	    240; 	 64.5; 	10.00; 	"64.50";
 94; 	 107.0146; 	    134; 	 36.1; 	10.00; 	"36.10";
 95; 	 120.0424; 	    109; 	 29.4; 	10.00; 	"29.40";
 96; 	 123.0754; 	    105; 	 28.2; 	10.00; 	"28.20";
 97; 	 152.0635; 	    107; 	 28.9; 	10.00; 	"28.90";
 98; 	 221.4379; 	    372; 	100.0; 	10.00; 	"100.00";
 99; 	 260.9012; 	    235; 	 63.3; 	10.00; 	"63.30";
100; 	 477.3919; 	    143; 	 38.5; 	10.00; 	"38.50";
101; 	 497.4143; 	    225; 	 60.5; 	10.00; 	"60.50";
102; 	 673.0281; 	    281; 	 75.6; 	10.00; 	"75.60";
103; 	 698.5376; 	    125; 	 33.7; 	10.00; 	"33.70";
104; 	  25.0232; 	    172; 	 40.6; 	20.00; 	"40.60";
105; 	  27.4328; 	    141; 	 33.4; 	20.00; 	"33.40";
106; 	  51.0265; 	    319; 	 75.3; 	20.00; 	"75.30";
107; 	  53.3020; 	    265; 	 62.5; 	20.00; 	"62.50";
108; 	  55.0506; 	    107; 	 25.3; 	20.00; 	"25.30";
109; 	  75.0438; 	    424; 	100.0; 	20.00; 	"100.00";
110; 	 120.0474; 	    106; 	 25.0; 	20.00; 	"25.00";
111; 	 152.0573; 	    249; 	 58.8; 	20.00; 	"58.80";
112; 	 187.2552; 	    267; 	 63.0; 	20.00; 	"63.00";
113; 	 193.3689; 	    145; 	 34.2; 	20.00; 	"34.20";
114; 	 449.2210; 	    237; 	 55.9; 	20.00; 	"55.90";
115; 	 555.1107; 	    232; 	 54.7; 	20.00; 	"54.70";
116; 	  51.0253; 	    425; 	 98.5; 	40.00; 	"98.50";
117; 	  74.0134; 	    117; 	 27.0; 	40.00; 	"27.00";
118; 	  75.0259; 	    432; 	100.0; 	40.00; 	"100.00";
119; 	 116.0518; 	    121; 	 28.0; 	40.00; 	"28.00";
120; 	 124.0790; 	    265; 	 61.4; 	40.00; 	"61.40";
121; 	 182.4117; 	    115; 	 26.6; 	40.00; 	"26.60";
122; 	 185.0116; 	    255; 	 59.1; 	40.00; 	"59.10";
123; 	 211.8745; 	    261; 	 60.4; 	40.00; 	"60.40";
124; 	 247.9620; 	    128; 	 29.7; 	40.00; 	"29.70";
125; 	 375.5669; 	    210; 	 48.6; 	40.00; 	"48.60";
126; 	 470.7734; 	    256; 	 59.3; 	40.00; 	"59.30";
127; 	 540.2673; 	    265; 	 61.4; 	40.00; 	"61.40";
128; 	 608.9203; 	    259; 	 60.0; 	40.00; 	"60.00";
129; 	 633.1017; 	    266; 	 61.6; 	40.00; 	"61.60";
