 0; 	  68.3088; 	    100; 	 13.3; 	"68.31";
 1; 	 116.0511; 	    125; 	 16.7; 	"116.05";
 2; 	 122.0225; 	    752; 	100.0; 	"122.02";
 3; 	 123.0247; 	    121; 	 16.1; 	"123.02";
 4; 	 148.0373; 	    433; 	 57.6; 	"148.04";
 5; 	 152.0583; 	    231; 	 30.7; 	"152.06";
 6; 	 154.0617; 	    112; 	 14.9; 	"154.06";
 7; 	 156.0591; 	    104; 	 13.8; 	"156.06";
 8; 	 160.0365; 	    103; 	 13.7; 	"160.04";
 9; 	 305.8661; 	    123; 	 16.4; 	"305.87";
10; 	 341.2288; 	    101; 	 13.4; 	"341.23";
11; 	 353.8477; 	    114; 	 15.2; 	"353.85";
12; 	 637.1515; 	    265; 	 35.3; 	"637.15";
