 90; 	 462.0801; 	    231; 	  0.6; 	 1.00; 	"";
 91; 	 463.0785; 	    265; 	  0.6; 	 1.00; 	"";
 92; 	 469.3303; 	    101; 	  0.2; 	 1.00; 	"";
 93; 	 470.3596; 	    128; 	  0.3; 	 1.00; 	"";
 94; 	 471.0690; 	   7049; 	 17.3; 	 1.00; 	"17.30";
 95; 	 472.0725; 	   1574; 	  3.9; 	 1.00; 	"";
 96; 	 473.0724; 	    274; 	  0.7; 	 1.00; 	"";
 97; 	 544.3370; 	    172; 	  0.4; 	 1.00; 	"";
 98; 	 671.3226; 	    266; 	  0.7; 	 1.00; 	"";
 99; 	 677.4135; 	    236; 	  0.6; 	 1.00; 	"";
100; 	  42.5328; 	    208; 	  0.5; 	10.00; 	"";
101; 	  74.0159; 	    101; 	  0.2; 	10.00; 	"";
102; 	  74.0991; 	   1512; 	  3.6; 	10.00; 	"";
103; 	  75.0249; 	    826; 	  2.0; 	10.00; 	"";
104; 	  77.0198; 	    129; 	  0.3; 	10.00; 	"";
105; 	  79.0567; 	    106; 	  0.3; 	10.00; 	"";
106; 	  91.0540; 	    263; 	  0.6; 	10.00; 	"";
107; 	  92.0271; 	   1424; 	  3.4; 	10.00; 	"";
108; 	 105.6995; 	    143; 	  0.3; 	10.00; 	"";
109; 	 110.4527; 	    108; 	  0.3; 	10.00; 	"";
110; 	 112.4715; 	    283; 	  0.7; 	10.00; 	"";
111; 	 121.0295; 	    107; 	  0.3; 	10.00; 	"";
112; 	 122.0227; 	  42014; 	100.0; 	10.00; 	"100.00";
113; 	 123.0265; 	   3019; 	  7.2; 	10.00; 	"";
114; 	 124.0297; 	    102; 	  0.2; 	10.00; 	"";
115; 	 140.8214; 	    177; 	  0.4; 	10.00; 	"";
116; 	 150.0293; 	  27697; 	 65.9; 	10.00; 	"65.90";
117; 	 151.0326; 	   1452; 	  3.5; 	10.00; 	"";
118; 	 182.8180; 	    211; 	  0.5; 	10.00; 	"";
119; 	 200.1040; 	    259; 	  0.6; 	10.00; 	"";
120; 	 203.0207; 	    255; 	  0.6; 	10.00; 	"";
121; 	 369.5589; 	    200; 	  0.5; 	10.00; 	"";
122; 	 410.9924; 	    449; 	  1.1; 	10.00; 	"";
123; 	 411.9888; 	    107; 	  0.3; 	10.00; 	"";
124; 	 414.9103; 	    106; 	  0.3; 	10.00; 	"";
125; 	 467.2325; 	    125; 	  0.3; 	10.00; 	"";
126; 	 482.2677; 	    104; 	  0.2; 	10.00; 	"";
127; 	 501.4921; 	    287; 	  0.7; 	10.00; 	"";
128; 	 622.4167; 	    151; 	  0.4; 	10.00; 	"";
129; 	  37.2338; 	    261; 	  0.5; 	20.00; 	"";
130; 	  39.0591; 	    108; 	  0.2; 	20.00; 	"";
131; 	  51.0220; 	    108; 	  0.2; 	20.00; 	"";
132; 	  71.0499; 	    101; 	  0.2; 	20.00; 	"";
133; 	  74.0839; 	   1139; 	  2.3; 	20.00; 	"";
134; 	  75.0246; 	   3109; 	  6.3; 	20.00; 	"";
135; 	  76.0257; 	    371; 	  0.8; 	20.00; 	"";
136; 	  92.0260; 	   5034; 	 10.2; 	20.00; 	"10.20";
137; 	 103.3238; 	    262; 	  0.5; 	20.00; 	"";
138; 	 122.0252; 	  49232; 	100.0; 	20.00; 	"100.00";
139; 	 122.1862; 	    197; 	  0.4; 	20.00; 	"";
140; 	 123.1163; 	   3925; 	  8.0; 	20.00; 	"";
141; 	 124.0253; 	    105; 	  0.2; 	20.00; 	"";
142; 	 150.0296; 	   5193; 	 10.5; 	20.00; 	"10.50";
143; 	 216.9978; 	    906; 	  1.8; 	20.00; 	"";
144; 	 218.9822; 	    122; 	  0.2; 	20.00; 	"";
145; 	 242.2881; 	    128; 	  0.3; 	20.00; 	"";
146; 	 404.9754; 	    114; 	  0.2; 	20.00; 	"";
147; 	 420.9574; 	    121; 	  0.2; 	20.00; 	"";
148; 	 466.1914; 	    126; 	  0.3; 	20.00; 	"";
