 0; 	  96.9596; 	   1957; 	 36.4; 	"96.96";
 1; 	 155.9439; 	   3315; 	 61.7; 	"155.94";
 2; 	 157.9419; 	   5372; 	100.0; 	"157.94";
 3; 	 202.9630; 	    586; 	 10.9; 	"202.96";
