# Ev; 	 449.0100; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	  30.8000;	  28.6000;	   0.0000;	   0.6000;	   0.7000;
 0.01;	  30.8000;	  36.5000;	   0.0000;	   0.7000;	   0.0000;
 0.10;	  23.5000;	  28.6000;	   0.0000;	   0.6000;	   0.0000;
 1.00;	  57.1000;	 100.0000;	   0.0000;	   2.1000;	   0.0000;
10.00;	   0.0000;	 100.0000;	   0.0000;	   8.9000;	   0.2000;
20.00;	   0.0000;	 100.0000;	   0.0000;	  34.9000;	   1.1000;
40.00;	   0.0000;	   4.3000;	   0.0000;	  84.6000;	   0.7000;
