# Ev; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	   1.4000;	   0.0000;	  19.5000;	   1.4000;
 0.01;	 100.0000;	   0.0000;	  13.8000;	   0.0000;
 0.10;	 100.0000;	   0.0000;	  14.6000;	   0.0000;
 1.00;	 100.0000;	   0.0000;	  22.1000;	   0.0000;
10.00;	   1.4000;	   0.0000;	  96.3000;	   0.0000;
20.00;	   0.0000;	   0.0000;	  19.5000;	   0.0000;
40.00;	   0.0000;	   0.0000;	   0.0000;	   1.4000;
