 0; 	  51.7974; 	    271; 	 39.6; 	"51.80";
 1; 	 105.7390; 	    215; 	 31.4; 	"105.74";
 2; 	 121.0324; 	    686; 	100.0; 	"121.03";
 3; 	 186.3822; 	    265; 	 38.7; 	"186.38";
 4; 	 231.4078; 	    264; 	 38.6; 	"231.41";
 5; 	 316.4502; 	    189; 	 27.6; 	"316.45";
 6; 	 353.4303; 	    279; 	 40.7; 	"353.43";
 7; 	 369.4664; 	    261; 	 38.1; 	"369.47";
 8; 	 404.8311; 	    274; 	 39.9; 	"404.83";
 9; 	 425.8320; 	    218; 	 31.8; 	"425.83";
10; 	 438.4879; 	    278; 	 40.5; 	"438.49";
11; 	 508.6079; 	    267; 	 38.9; 	"508.61";
