 0; 	  84.1697; 	    180; 	 61.6; 	"84.17";
 1; 	  95.7010; 	    266; 	 90.8; 	"95.70";
 2; 	 106.8893; 	    118; 	 40.3; 	"106.89";
 3; 	 119.6996; 	    193; 	 66.1; 	"119.70";
 4; 	 121.0345; 	    142; 	 48.7; 	"121.03";
 5; 	 149.0252; 	    108; 	 36.9; 	"149.03";
 6; 	 150.0071; 	    149; 	 51.0; 	"150.01";
 7; 	 152.0447; 	    102; 	 34.9; 	"152.04";
 8; 	 163.6682; 	    276; 	 94.3; 	"163.67";
 9; 	 203.3829; 	    293; 	100.0; 	"203.38";
10; 	 313.8860; 	    203; 	 69.5; 	"313.89";
11; 	 433.4401; 	    168; 	 57.6; 	"433.44";
