"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"Ph-N2-OTf = Ph-N2+ + TfO-"; 365.15; 316.70; 360.78; 44.12; 
"2-NO2-Ph-N2-OTf = 2-NO2-Ph-N2+ + TfO-"; 391.77; 342.08; 386.39; 44.35; 
"3-NO2-Ph-N2-OTf = 3-NO2-Ph-N2+ + TfO-"; 406.91; 355.65; 401.25; 45.63; 
"4-NO2-Ph-N2-OTf = 4-NO2-Ph-N2+ + TfO-"; 408.03; 357.21; 402.39; 45.21; 
"4-NO2-Ph-N2-OTs = 4-NO2-Ph-N2+ + TsO-"; 446.67; 399.91; 440.57; 40.69; 
"4-NO2-Ph-N2-BF4 = 4-NO2-Ph-N2+ + BF4-"; 438.56; 386.13; 432.81; 46.71; 
"4-CH3O-Ph-N2-OTf = 4-CH3O-Ph-N2+ + TfO-"; 348.53; 302.47; 343.29; 40.85; 
"4-HOOC-Ph-N2-OTf = 4-HOOC-Ph-N2+ + TfO-"; 381.41; 333.59; 376.31; 42.74; 
"4-Br-Ph-N2-OTf = 4-Br-Ph-N2+ + TfO-"; 375.52; 329.79; 370.80; 41.04; 
"2-HOOC-Ph-N2-OTf = 2-HOOC-Ph-N2+ + TfO-"; 367.89; 319.97; 362.96; 43.02; 
"2-HOOC-4-Br-Ph-N2-OTf = 2-HOOC-4-Br-Ph-N2+ + TfO-"; 369.74; 322.28; 364.92; 42.67; 
