# Ev; 	 449.0100; 	 150.0300; 	 122.0900; 	  92.1000; 	  75.0200;
 0.00;	  29.4000;	  47.5000;	  48.4000;	   3.8000;	 100.0000;
 0.01;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 0.10;	   0.0000;	   0.0000;	   0.0000;	   0.0000;	   0.0000;
 1.00;	  29.4000;	 100.0000;	  51.9000;	   1.1000;	   1.8000;
10.00;	   0.0000;	  47.5000;	 100.0000;	   3.8000;	   4.9000;
20.00;	   0.0000;	   6.2000;	 100.0000;	   9.3000;	   6.1000;
40.00;	   0.0000;	   0.0000;	  91.3000;	  88.7000;	 100.0000;
