  0; 	  29.0753; 	    260; 	  0.7; 	 0.00; 	"";
  1; 	  31.5986; 	    256; 	  0.6; 	 0.00; 	"";
  2; 	  47.3274; 	    282; 	  0.7; 	 0.00; 	"";
  3; 	  56.1310; 	    269; 	  0.7; 	 0.00; 	"";
  4; 	  74.0962; 	   2508; 	  6.3; 	 0.00; 	"";
  5; 	  75.0209; 	    486; 	  1.2; 	 0.00; 	"";
  6; 	  76.0269; 	    123; 	  0.3; 	 0.00; 	"";
  7; 	  88.3471; 	    110; 	  0.3; 	 0.00; 	"";
  8; 	  92.0265; 	    377; 	  0.9; 	 0.00; 	"";
  9; 	 111.0870; 	    114; 	  0.3; 	 0.00; 	"";
 10; 	 122.0238; 	  19289; 	 48.4; 	 0.00; 	"48.40";
 11; 	 123.0245; 	   1100; 	  2.8; 	 0.00; 	"";
 12; 	 141.8194; 	    257; 	  0.6; 	 0.00; 	"";
 13; 	 149.0334; 	    512; 	  1.3; 	 0.00; 	"";
 14; 	 150.0280; 	  39837; 	100.0; 	 0.00; 	"100.00";
 15; 	 151.0317; 	   1964; 	  4.9; 	 0.00; 	"";
 16; 	 214.7993; 	    121; 	  0.3; 	 0.00; 	"";
 17; 	 234.3530; 	    361; 	  0.9; 	 0.00; 	"";
 18; 	 241.0921; 	    102; 	  0.3; 	 0.00; 	"";
 19; 	 411.2610; 	    140; 	  0.4; 	 0.00; 	"";
 20; 	 437.2477; 	    109; 	  0.3; 	 0.00; 	"";
 21; 	 442.0924; 	    217; 	  0.5; 	 0.00; 	"";
 22; 	 445.2595; 	    106; 	  0.3; 	 0.00; 	"";
 23; 	 447.2843; 	    119; 	  0.3; 	 0.00; 	"";
 24; 	 448.0157; 	    397; 	  1.0; 	 0.00; 	"";
 25; 	 449.0126; 	  19366; 	 48.6; 	 0.00; 	"48.60";
 26; 	 450.0061; 	   3244; 	  8.1; 	 0.00; 	"";
 27; 	 451.0357; 	   1046; 	  2.6; 	 0.00; 	"";
 28; 	 452.0090; 	    101; 	  0.3; 	 0.00; 	"";
 29; 	 453.2277; 	    136; 	  0.3; 	 0.00; 	"";
 30; 	 454.1755; 	    254; 	  0.6; 	 0.00; 	"";
 31; 	 456.9781; 	    117; 	  0.3; 	 0.00; 	"";
 32; 	 459.0908; 	    101; 	  0.3; 	 0.00; 	"";
 33; 	 460.2736; 	   7024; 	 17.6; 	 0.00; 	"17.60";
 34; 	 461.0534; 	   2501; 	  6.3; 	 0.00; 	"";
 35; 	 462.0828; 	   6341; 	 15.9; 	 0.00; 	"15.90";
 36; 	 463.0925; 	   1106; 	  2.8; 	 0.00; 	"";
 37; 	 464.3347; 	    100; 	  0.3; 	 0.00; 	"";
 38; 	 589.8703; 	    259; 	  0.7; 	 0.00; 	"";
 39; 	  32.9750; 	    268; 	  0.6; 	 1.00; 	"";
 40; 	  39.5182; 	    105; 	  0.2; 	 1.00; 	"";
 41; 	  74.0964; 	   3611; 	  8.0; 	 1.00; 	"";
 42; 	  75.0238; 	    804; 	  1.8; 	 1.00; 	"";
 43; 	  92.0250; 	    515; 	  1.1; 	 1.00; 	"";
 44; 	  94.0460; 	    120; 	  0.3; 	 1.00; 	"";
 45; 	 107.0835; 	    247; 	  0.5; 	 1.00; 	"";
 46; 	 121.0323; 	    138; 	  0.3; 	 1.00; 	"";
 47; 	 122.0255; 	  23383; 	 51.9; 	 1.00; 	"51.90";
 48; 	 123.0291; 	   1566; 	  3.5; 	 1.00; 	"";
 49; 	 124.0332; 	    143; 	  0.3; 	 1.00; 	"";
 50; 	 130.2831; 	    274; 	  0.6; 	 1.00; 	"";
 51; 	 149.0323; 	    446; 	  1.0; 	 1.00; 	"";
 52; 	 150.0291; 	  45081; 	100.0; 	 1.00; 	"100.00";
 53; 	 151.0264; 	   2821; 	  6.3; 	 1.00; 	"";
 54; 	 152.0356; 	    245; 	  0.5; 	 1.00; 	"";
 55; 	 172.2607; 	    287; 	  0.6; 	 1.00; 	"";
 56; 	 258.9675; 	    126; 	  0.3; 	 1.00; 	"";
 57; 	 329.8612; 	    112; 	  0.2; 	 1.00; 	"";
 58; 	 435.0048; 	    104; 	  0.2; 	 1.00; 	"";
