Reaction; dE; dG; LUMO(Ar+); LUMO(Ar); Ring Deviation (Ar+); Ring Deviation (Ar);
"Ph+(S) + e = Ph(D)"; 0.00; 0.00; -0.353450; 0.000000; 0.0000; 0.0000;
"Ph+(T) + e = Ph(D)"; 0.00; 0.00; -0.410940; 0.000000; 0.0000; 0.0000;
"2-NO2-Ph+(S) + e = 2-NO2-Ph(D)"; 0.00; 0.00; -0.358190; 0.000000; 0.0000; 0.0287;
"2-NO2-Ph+(T) + e = 2-NO2-Ph(D)"; 0.00; 0.00; -0.423570; 0.000000; 0.0287; 0.0287;
"3-NO2-Ph+(S) + e = 3-NO2-Ph(D)"; 0.00; 0.00; -0.372710; 0.000000; 0.0013; 0.0123;
"3-NO2-Ph+(T) + e = 3-NO2-Ph(D)"; 0.00; 0.00; -0.425590; 0.000000; 0.0123; 0.0123;
"4-NO2-Ph+(S) + e = 4-NO2-Ph(D)"; 0.00; 0.00; -0.375810; 0.000000; 0.0002; 0.0037;
"4-NO2-Ph+(T) + e = 4-NO2-Ph(D)"; 0.00; 0.00; -0.422680; 0.000000; 0.0037; 0.0037;
"4-CH3O-Ph+(S) + e = 4-CH3O-Ph(D)"; 0.00; 0.00; -0.341650; 0.000000; 0.2466; 0.0000;
"4-CH3O-Ph+(T) + e = 4-CH3O-Ph(D)"; 0.00; 0.00; -0.361220; 0.000000; 0.0000; 0.0000;
"2-HOOC-Ph+(S) + e = 2-HOOC-Ph(D)"; 0.00; 0.00; -0.354210; 0.000000; 0.0004; 0.0420;
"2-HOOC-Ph+(T) + e = 2-HOOC-Ph(D)"; 0.00; 0.00; -0.404310; 0.000000; 0.0420; 0.0420;
"4-HOOC-Ph+(S) + e = 4-HOOC-Ph(D)"; 0.00; 0.00; -0.357180; 0.000000; 0.0006; 0.0685;
"4-HOOC-Ph+(T) + e = 4-HOOC-Ph(D)"; 0.00; 0.00; -0.402690; 0.000000; 0.0685; 0.0685;
"4-Br-Ph+(S) + e = 4-Br-Ph(D)"; 0.00; 0.00; -0.358080; 0.000000; 0.0007; 0.0007;
"4-Br-Ph+(T) + e = 4-Br-Ph(D)"; 0.00; 0.00; -0.391690; 0.000000; 0.0007; 0.0007;
"2-HOOC-4-Br-Ph+(S) + e = 2-HOOC-4-Br-Ph(D)"; 0.00; 0.00; -0.358250; 0.000000; 0.0007; 0.0001;
"2-HOOC-4-Br-Ph+(T) + e = 2-HOOC-4-Br-Ph(D)"; 0.00; 0.00; -0.394480; 0.000000; 0.0001; 0.0001;
