"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"1a = 1a-I + HOTf"; 227.00; 167.23; 215.76; 48.57; 
"1a-A+ + 1a-I = 1a-D+"; -345.98; -277.72; -332.55; -54.87; 
"1f = 1f-I + HOTf"; 225.75; 165.20; 214.58; 49.42; 
"1f-A+ + 1f-I = 1f-D+"; -317.66; -246.69; -304.89; -58.24; 
"1g = 1g-I + HOTf"; 230.06; 170.62; 218.75; 48.17; 
"1g-A+ + 1g-I = 1g-D+"; -340.69; -271.56; -327.47; -55.95; 
"1h = 1h-I + HOTf"; 218.16; 161.27; 207.05; 45.81; 
"1h-A+ + 1h-I = 1h-D+"; -330.71; -262.53; -317.70; -55.21; 
"1i = 1i-I + HOTf"; 210.71; 151.04; 200.01; 49.00; 
"1i-A+ + 1i-I = 1i-D+"; -302.67; -233.11; -290.45; -57.38; 
"1a-A+ + 1a-F = 1a-G+"; -84.18; -30.40; -82.47; -52.11; 
"1a-G+ + 1a-F = 1a-P1+"; -748.16; -653.03; -721.79; -68.80; 
"1a-P1+ + 1a-F = 1a-P2+"; -42.67; 1.66; -43.14; -44.83; 
"1a-P2+ + 1a-F = 1a-P3+"; -587.42; -502.60; -567.47; -64.91; 
"1a-A+ + 1a-F = 1a-H+"; -207.71; -138.03; -196.07; -58.08; 
"1a-H+ = 1a-G+"; 123.53; 107.63; 113.59; 5.97; 
"1g-A+ + 1g-F = 1g-G+"; -71.25; -18.46; -70.10; -51.67; 
"1g-G+ + 1g-F = 1g-P1+"; -749.67; -654.67; -723.85; -69.23; 
"1g-P1+ + 1g-F = 1g-P2+"; -35.04; 8.92; -36.20; -45.15; 
"1g-P2+ + 1g-F = 1g-P3+"; -590.44; -508.16; -570.51; -62.40; 
"1g-A+ + 1g-F = 1g-H+"; -204.49; -135.12; -193.44; -58.36; 
"1g-H+ = 1g-G+"; 133.24; 116.66; 123.34; 6.69; 
